名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
采石矶Caishi Reef,http://travel.qunar.com/p-oi709479-caishiji,"

地址:
安徽省马鞍山市雨山区九华西路


电话:
0555 210 0142

",采石矶是长江三大名矶之一（另两个是南京的燕子矶和岳阳的城陵矶），位于马鞍山市区西南约5公里处，海拔131米的翠螺山探入西侧的长江，月牙形的锁溪河包围了山的东面。采石矶因李白而出名，相传他醉酒后赴江中捉月，溺死于采石。游客来寻访诗仙足迹的同时，还可以看到秀丽的园林景观和壮阔的长江水色。景区的大门在东北边，跨过锁溪桥入园后，门口有许多人文小景点，因为仔细游览完景区需要较长的时间，为了便于掌控时间，最好先直奔南边的重要景点太白楼，回头出来时再游玩这些小景点。太白楼为纪念李白而建，现在看到的是清光绪三年（公元1877年）重建的，前进是三层高的阁楼，后进是祠堂，左右有回廊相连。在它隔壁的李白纪念馆内，陈列着和李白相关的诗集、字画等文物。太白楼东北边的谪仙园为江南园林风格，不少游客走累了就会在亭台楼阁里坐一会。上翠螺山可在太白楼西边的翠螺轩坐索道，直达山顶的三台阁，单程30元，由于爬上山顶只需30分钟，所以不是很建议坐。你可以先去游览沿江古栈道，古栈道通向翠螺山的北坡，北上南下，不用走回头路。站在三台阁的最高层第五层，往西能俯看长江与农田，往北能见到小九华山，每当黄昏，长江上的日落尤其瑰丽。从南坡下山时别错过李白衣冠冢和广济寺，寺前的三国赤乌井是采石矶最老的古迹。古栈道悬于翠螺山的山壁，脚下就是滚滚长江，依稀能让人感受到一丝惊险。漫步栈道，沿途可以看看传闻中大将常遇春攻打这里时留下的大脚印；联壁台（李白捉月台）；采石矶最大的天然石洞三元洞（三官洞）。游览完所有重要景点后，最后在距大门不远的地方，还有展出书法的林散之艺术馆，展出古砚台、书画的延园等小景点可以参观。出景区沿着锁溪河旁的乡间小道往南走，一直走到江边的陈家圩汽渡东渡口，从那里远望采石矶与三台阁，是不一样的景致。当地人总把采石矶当大公园来玩，春天梅花、杏花次第开，学生、家长带着小孩都会来春游。,5/1-10/31 08:30-17:30;11/1-4/30 08:30-17:00,https://img1.qunarzz.com/travel/d1/1705/2a/edcb9a00957e40b5.jpg_480x360x95_c76aff4a.jpg,4.5,建议游览时间：12小时,,"{'采石矶门票成人票\n\n': ['¥68起'], '采石矶门票优待票\n\n': ['¥30起'], '采石矶门票亲子票(1大1小)\n\n': ['¥85起']}",,1
李白墓园Li Bai Tomb,http://travel.qunar.com/p-oi710637-libaimuyuan,"

地址:
马鞍山市当涂县太白镇李白墓（位于市区东南20公里处的青山脚下）


电话:
0555-6683504

",李白墓园在安徽省马鞍山市当涂县，枕着郁郁葱葱的青林山，面对奔流不息的青山河，山青水碧，环境幽雅，与采石矶、天门山形成李白文化旅游线。园内有牌坊、太白碑林、眺青阁、太白祠，李白墓、青莲书院、十咏亭、盆景园等景点。李白墓完整地保存了唐代名人墓葬形制，太白祠、享堂集中展现了明清宗族祠堂的建筑风格，“宋碑”则详细记载了李白生平身世和诗歌成就，“太白碑林”镶嵌着著名书法家书写的李白各个时期经典诗碑106方。走进墓园，春看杜鹃、夏赏青莲、秋闻金桂、冬品腊梅，亭台楼阁、竹林流水，相映成趣、相得益彰，诗魂背枕的青林山，林壑优美、鸟道纡曲、百鸟鸣啁，由南远眺如展瓣芙蓉，婀娜多姿，由北遥望若朝天双阙，直入云霄。背倚的大青山，因李白多次来此停留游览，亦名为李家山，山上鸟道迂回，林木葱郁，面临长江，地理位置显要，自古以来是兵家必争之地，青山文物古迹丰富，北麓有著名的晋墓群及明代琉璃瓦窑址。,5/1-9/30 08:00-17:30;10/1-4/30 08:00-17:00,https://img1.qunarzz.com/p/tts8/1801/f7/df2c4eea2c3ea602.jpg_480x360x95_171f9a20.jpg,4.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
小九华Little Jiuhua Mountain,http://travel.qunar.com/p-oi712336-xiaojiuhua,"

地址:
马鞍山市采石镇西北二里处


电话:
0555-2103420,0555-2235519

",小九华位于马鞍山采石镇西北二里处，是从马鞍山驱车至采石风景区的必经之地。山高百丈，周围15里。相传，地藏王曾到这里住过，留下许多神奇传说。     早在古代这里就建有地藏王殿，辉宏壮观，游人不绝，千百年来，每逢农历正月十五，七月三十，进香者络绎不绝，由于山峦秀美，香火极盛，酷似百里外的青阳九华山，所以人称“小九华”。原名望夫山，古时一女子在此盼夫归来，化为巨石，至今，“望夫石”三字依稀可见。     小九华原是临江而立的断崖山丘，历史上由于长江河道变迁，泥沙沉积而形成，她突兀江边，更显得一峰玉立，擎天镇地，独具奇观。小九华山紧毗著名的采石矶风景区，她俯瞰长江，北眺西山，小九华山地处亚热带季风气候，气候温凉，四季如春，阳光充足，雨量充沛。     小九华山地处亚热带气候，植物资源非常丰富，针叶常绿，阔叶与落叶混交，并有人工林分布，具有观赏和栽培植、育种价值的植物很多，桂花、金银花、山梅等，还有经济价值很高的野生中药材等植物资源。     小九华树木茂密，具有野生动物栖息及生活的良好条件：野兔、刺猬、布谷鸟、啄木鸟，它们和人类和平相处，鸟鸣声或清脆，或婉转，构成另一道风景线。,全年 8:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8b6022095e1f714b0096b850f566fc06.jpg_480x360x95_ddb63d6a.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
褒禅山景区Baochan Mountain Scenic Area,http://travel.qunar.com/p-oi718953-baoshanshanjingqu,"

地址:
马鞍山市含山县环峰镇褒山行政村


电话:
0555-4356300

",褒禅山景区位于安徽省含山县县城以北7.5公里处，东临和县鸡笼山，西至古昭关，总面积约20平方公里。4亿5千万年前，这里原为一片汪洋。7千万年前，燕山造山运动中，地壳提升，升出海面。主峰海拔481米，为淮河与长江的分水岭。褒禅山景区由华阳洞、褒禅寺、伍子胥古道和古昭关四大旅游版块组成。褒禅山的前山为裸露的石灰岩山体，泥土极少，树木为天然原始林，全部生长在山石缝中，主要树种有：青檀、黄檀、三角枫、马甲子（摇钱树）、银杏树等，有的树龄已有上千年的历史；后山的天然植被层次分明，植物品种较多，有野生的灵芝草、何首乌、杜仲、白芨、明党参、枸杞子等名贵中草药。动物主要有狼、獐、獾、猫头鹰、翠鸟、喜鹊、山鸡等。褒禅山古称华山，自古以来为佛教文化圣地。唐贞观12年(公元638年)，唐玄奘弟子高僧慧褒禅师结庐于此，潜修20余年，圆寂后获五色舍利子若干粒，其弟子便将“华山”改为“褒禅山”，且兴建寺宇，谓“慧空禅院”。  公元1054年4月，北宋文学家、思想家、政治家、改革家王安石游览此山，写下了千古名篇《游褒禅山记》(现被国家教育部确定为高中必修教材)，集中展示了华阳洞的“险、奇、美、绝”四大特点。洞内历代文人雅士泼墨于洞壁，镌刻于岩石。2001年华阳洞内的摩崖石刻被列为安徽省重点文物保护对象，褒禅山华阳洞被誉为天下第一名洞，洞内钟乳石倒挂，怪石嶙峋。华阳洞探明长度为5000多米，现开发可供游览的长度为1600米。整个洞群分前洞、后洞、天洞、地洞，洞中有洞，洞洞相通，洞中有河，河上泛舟。移步换景，神奇虚幻。,8:30-16:30,https://img1.qunarzz.com/travel/poi/1409/09/8cae96ded022ddffffffffffc8d65eac.jpg_480x360x95_fef1b629.jpg,4.6,建议游览时间：3小时 - 4小时,,"{'褒禅山景区华阳洞门票成人票\n\n': ['¥40起'], '褒禅山景区华阳洞门票亲子票(1大1小)\n\n': ['¥65起'], '褒禅山景区华阳洞门票家庭票(2大1小)\n\n': ['¥105起']}",,1
濮塘风景区Putang Scenic Area,http://travel.qunar.com/p-oi708664-putangfengjingqu,"

地址:
马鞍山市花山区濮塘街道


电话:
0555-8888626

","风景区位于马鞍山市东郊，面积约20平方公里，景区内层峦叠嶂、沟壑纵横、林木绢绣，飞泉叮咚，环境幽雅，野趣盎然，为休闲度假的胜地。竹海、古树、清泉、钟鼓并称濮塘""四绝""，这里竹海苍茫，一碧万顷，山风徐来，竹影婆娑，竹叶沙沙，如鸣天籁，徜徉其间，宠辱皆忘，心旷神怡，古银杏历经千载沧桑，仍虬枝铁干，浓荫如盖，钟鼓地踏地而闻钟鼓声，奇异而谲怪。",全年 8:30-17:00,https://img1.qunarzz.com/travel/poi/1712/b4/f2011b483288cb37.jpg_480x360x95_81f0f4c8.jpg,4.4,建议游览时间：3小时,,具体收费情况以现场公示为主,,1
鸡笼山Jinlong Mountain,http://travel.qunar.com/p-oi715403-jilongshan,"

地址:
马鞍山市和县西埠镇巢宁公路北侧


电话:
0555-5470085

","鸡笼山，旧名亭山，又名凤台山。位于县城西北25公里的群山之中。海拨240米。《太平寰宇记》载：“麻湖初陷，一老母提鸡笼登是山，因化为石，今山有石状如鸡笼，因名。”因其山峦连绵，上冠巨石，状似莲花，为“一州奇胜”。
山上有“三清殿”、“南天门”、“一线天”、“溶岩洞”、“百岁缺”诸景点。相传，东汉末年，高僧金佛、金乾、金坤三兄弟，在此悟道成佛。后人为之兴殿名“三清殿”。奉为三毛祖师，塑像供于殿中。内悬大钟一口，重千斤；大鼓一面，鼓面直径近2米。每逢朔望之日，各地群众前往朝山山拜佛，络绎不绝，故有“江北小九华”之称。
历代有许多诗人都留有题咏。其中：李白《历阳壮士勤将军名界齐歌》诗曰：“太古历阳郡，化为洪川在。江山忧郁盘，龙虎秘光采。蓄泄数千载，风云何。特生勤将军，神力百夫倍。”唐许浑《题勤尊师历阳山居》诗曰：“二十知兵在羽林，中年潜识子房心。苍鹰出塞边尘静，白鹤还乡楚水深。春坼酒瓶浮药气，晚携棋局带松荫。鸡笼山上去多处，自属斤黄精不可寻。”朱元璋《登鸡笼山》诗曰：“罢猎西山坐拥旗，一山出地万山卑。崔巍巨石如天柱，撑著老天天自知。”
 唐初，山上山下，寺庙甚多。后历经兵乱，原有建筑被毁较多。建国后，尚存寺庙37间，内供大小佛像百余尊，有僧数十众。“文化大革命”中，寺庙及佛像均被毁。1978年后，县人民政府拨款重修，将山麓至山顶道路，用石条重铺，并加钢管栏杆。凤林禅寺，亦修葺一新，内塑佛像七尊。现存有《凤林禅寺碑记》碑刻一块，每年接待来山香客游人甚多。
",全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a09a57ac394b9444dcce14045bb3cb26.jpg_480x360x95_0e9ed527.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
陋室公园Loushi Park (North Gate),http://travel.qunar.com/p-oi707996-loushigongyuan,"

地址:
马鞍山市和县陋室东街23号


电话:
0555-5312746

",在和县城内半边街。唐诗人刘禹锡任和州刺史时所建，著有《陋室铭》：“山不在高，有仙则灵，水不在深，有龙则灵。斯是陋室，唯吾德馨…;…;”。原柳公权所书碑文已毁，现在的碑文为安徽省书法家孟繁青仿柳体书。建有“梯松楼”、“半月池”、“万花谷”、“舞鹤轩”、“瞻辰亭”、“虚山亭”、“狎欧亭”、“临流亭”、“迎熏亭”、“筠岩亭”、“江山一览亭”等，俱遭兵燹。1986年，由省、县拨款修葺，并建空花围墙一道。门庭“陋室”二字为诗人臧克家所题。《陋室铭》由省书法家孟繁青仿柳体书，刻碑。陋室正厅塑刘禹锡全自站像，上悬“政擢贤良”横匾，周围挂有全国、省著名书法家张恺帆、方绍武、司徒越、葛介屏、萧劳、要铎、文永华、江波等人书写的楹联和条幅及金石家，葛许光的印章条幅。主室走廊门旁有楹联“苔痕上阶绿，草色入帘青”。两旁木柱上有“沉舟侧畔千帆过，病树前头万木春”楹联。1988年，县里投资近百万元，在陋室的“仙山”、“龙池”一带，建成一座“陋室公园”。面积50多亩，山上建有江山一览亭、望江亭、仙人洞。池中建有临流亭、履仙桥等。周围筑仿清镂花墙300多米，正门座南朝北，牌坊式门楼，“陋室公园”匾额，为安徽省著名书法家张恺所题。1986年，陋室经省人民政府批准为省级重点文物保护单位。,全年 8:00-21:00,https://img1.qunarzz.com/travel/d9/1810/1f/c05c2991704d77b5.jpg_480x360x95_fc67208a.jpg,4.6,建议游览时间：1小时,,{'陋室公园驴迹电子导览（不含门票）门票成人票\n\n': ['¥7起']},,1
霸王祠The Conqueror's Temple,http://travel.qunar.com/p-oi704625-bawangci,"

地址:
马鞍山市和县乌江镇驻马路100号


电话:
0555-5391207

",霸王祠又名项王祠、西楚霸王洞、项羽庙。公元前202年，项羽兵败自刎于此，后人立祠祀之。原有建筑99间半，传说帝王方可建祠百间，项羽未成帝业，只得少建半间。祠前联云：“司马迁乃汉臣，本纪一篇，不信史官无曲笔；杜师雄真豪士，灵祠大哭，至今草木有余悲。”孟郊、杜牧、苏舜钦、王安石、陆游等均有题诗。霸王祠内有霸王的黄杨木巨型雕像，只见霸王身体前倾，双眼圆睁，一手仗剑，一脚向前踏出，威风一如往昔。时至今日，在乌江，每逢农历初一和十五，霸王祠里项羽的雕像前总是香烟缭绕，四乡八镇的村民们都赶来参加一场小型庙会，人们或以物易物，或说唱游乐，在喧嚣中，伫立着的项羽似乎也多了几分欢愉，少了些许威严。,全年 全天开放,https://flight-feed.qunarzz.com/as3/271/image/poi_vishnu/b2c04a52-5165-49be-a3c8-4d41c4ffac16.jpg,3.9,建议游览时间：1小时,,{'霸王祠电子导览票大小同价\n\n': ['¥7起']},,1
朱然陈列馆,http://travel.qunar.com/p-oi711549-zhuranchenlieguan,"

地址:
安徽马鞍山市雨山区朱然路

",,全天,https://img1.qunarzz.com/travel/poi/1608/ff/2257c8acfc690b37.jpg_480x360x95_0f7361b7.jpg,4.5,,,15元,,1
马鞍山马钢盆山Ma'anshan Magangpen Mountain,http://travel.qunar.com/p-oi704615-maanshanmagangpenshan,"

地址:
花山区淮山盆山农场


电话:
+86 555 315 1108

",马钢盆山度假村建立于1996年，整体核心区域面积2050亩，是集休闲、娱乐、餐饮、住宿、会议为一体的华东地区规模较大的休闲度假区。,住宿：24小时开放； 娱乐：8:00—17:00,,5.0,建议游览时间：3天,,5元/人,,1
