名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
兴凯湖湿地公园Xingkai Lake,http://travel.qunar.com/p-oi705268-xingkaihushidigongyuan,"

地址:
鸡西市密山市当壁镇119县道东


电话:
0467-5608802

",,全年 全天开放,https://img1.qunarzz.com/travel/d1/1610/95/f18210cc8ca93fb5.jpg_480x360x95_7bf1228c.jpg,4.5,建议游览时间：3天,,具体收费情况以现场公示为主,,1
珍宝岛Zhenbao Island,http://travel.qunar.com/p-oi714354-zhenbaodao,"

地址:
鸡西市虎林市，乌苏里江主航道中国一侧

",珍宝岛位于乌苏里江上，长约2公里，因形似元宝故名为珍宝岛。珍宝岛原是从中国方面伸入乌苏里江的半岛，后来经过长期的水流冲击，才成为一个小岛。每逢夏季枯水期，珍宝岛还会与乌苏里江的中国陆地连在一起，恢复原来的半岛面目。在乌苏里江上的老一辈中国渔民，还称珍宝岛为“翁岛”。珍宝岛面积仅0.74平方公里小岛，却因20世纪60年代末的珍宝岛事件令世人瞩目。矗立在江边石碑上的“百年首捷 一岛独胜”，让人不由想起30多年前的中苏战役——珍宝岛自卫反击战，以我方的胜利告终。自珍宝岛自卫反击战以来，珍宝岛作为军事禁区，一直禁止当地居民和游客登岛。直到苏联解体，经军方同意才准许部分游人上岛参观。登到岛上，首先看到的是写有“中国珍宝岛”的庄严的营区大门。在岛的较高地块上，代代守岛战士克服重重困难，修建了“北京路”、“金水桥”、“南京路”、“上海路”，以表达自己誓死保卫宝岛的决心。硝烟散尽，英雄长逝，如今的珍宝岛已成为闻名遐迩的爱国主义红色旅游地。,全年 8:00-16:30,https://img1.qunarzz.com/travel/d4/1512/83/cd4fefd02d9f29f7.jpg_480x360x95_b182344e.jpg,4.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
哈达河,http://travel.qunar.com/p-oi703793-hadahe,"

地址:
鸡西市鸡东县哈达水库

",哈达河风景区分为8个景点，分别为卧驼峰、石崖湾、群峰山、平台山、阴阳鱼靶场、钓鱼和坝下服务区。哈达和湖面宽阔，两艘游艇，供游人观赏湖面和周围景点，景区内人文景观，建筑风格独特，以贴近自然为主，湖湾，山峦，潭水，曲径古朴协调，称为景区一绝，哈达河水盛产湖鲤，鱼类品种齐全，味美可口，景区以高质量、高品位、高标准要求，建设生态园区，2001年已被评为国家二A级景区。八楞山热情欢迎游客来景区旅游观光，休闲度假。,8：00——17：00,https://img1.qunarzz.com/travel/poi/201211/19/dedd698952b18071ddb12cfb.jpg_480x360x95_14b72d99.jpg,--,,,5元,,1
麒麟山,http://travel.qunar.com/p-oi702783-qilinshan,,,,,,,,,,1
八楞山,http://travel.qunar.com/p-oi701975-balengshan,,八楞山水面浩瀚，山峰险峻，著名的景点有仙狐堂、杏花坡、小炉台日军工事遗址、天然石观、石林等景观，其独特的意境和完好的自然生态体系成为景区魅力所在。八楞山的游乐项目丰富，漂流惊险刺激，标准游泳池、10米高水滑梯是嬉水者的理想之地，此外，八楞山景区盛产山珍――松茸、山菇、林蛙等山产品，经过精心制作的各种旅游商品，可以满足游人的购物乐趣。,,https://img1.qunarzz.com/travel/poi/201211/19/97f0cb99139df385ddb12cfb.jpg_480x360x95_73f0f93e.jpg,5.0,,,,,1
北大荒书法长廊Beidahuang Calligraphy Art Gallery,http://travel.qunar.com/p-oi713142-beidahuangshufazhanglang,"

地址:
鸡西市密山市


电话:
04675400757

",北大荒书法艺术长廊位于青年水库东岸，由碑林、碑廊和坐落在山间的石碑组建而成。景区内环境古朴而幽静，将自然景观与历史文化融为一体，现存有碑刻3600余块。这里的展示品主要由三部分构成，一是在密山工作过的革命前辈，如王震、吴亮平以及后来成为共和国空军司令的王海等人的手迹；二是为开发北大荒做出过贡献的文化名人，如丁玲、艾青、聂绀弩、吴祖光等人的书作；三是我国现代出名书法家，如启功、邵宇、沈鹏等人的墨宝，是国内收录镌刻现代书法家作品较多的书法艺术展示地之一。此外，景区内西门的门楣是一支花岗岩石雕刻而成的如椽巨笔，重2610公斤，长856公分。,全年 08:30-16:00,https://img1.qunarzz.com/travel/poi/201211/19/c9ed80e15e7ae3e5ddb12cfb.jpg_480x360x95_1a6cb0f3.jpg,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
青年水库,http://travel.qunar.com/p-oi704287-qingnianshuiku,"

地址:
中国黑龙江鸡西市密山

",密山青年水库景区位于密山镇以北13公里处，总面积5.00平方公里，其中北大荒书法艺术长廊0.04平方公里。水面面积1.138 平方公里，建筑面积5000平方米。库容3.57亿立方米。大坝横拦东西两山之间，长1750米，高14米，顶端镶柏油路面，宽敞平坦，亭台水榭，理石雕塑，点缀坝上。 1958年5月4日由王震率其所属十万官兵与知青共建，大坝南与青年水库家属区相连。北大荒书法艺术长廊座落在欧式风格的云水山庄之内，由当代著名书法家李铎题定廊名。占地4万平方米的碑林是东北最大的现代书法艺...密山青年水库景区位于密山镇以北13公里处，总面积5.00平方公里，其中北大荒书法艺术长廊0.04平方公里。水面面积1.138 平方公里，建筑面积5000平方米。库容3.57亿立方米。大坝横拦东西两山之间，长1750米，高14米，顶端镶柏油路面，宽敞平坦，亭台水榭，理石雕塑，点缀坝上。 1958年5月4日由王震率其所属十万官兵与知青共建，大坝南与青年水库家属区相连。北大荒书法艺术长廊座落在欧式风格的云水山庄之内，由当代著名书法家李铎题定廊名。占地4万平方米的碑林是东北最大的现代书法艺术碑林，汇集了现代著名书法家以及在密山工作、战斗过的老革命家、文化名人书法精品石刻1500余件。碑林整体构思独特，碑、廊、亭、墙形态各异，地面用草坪和白色的大理石铺成了“翰墨铸缘，书艺千秋”八个大字，与碑廊浑然一体。“圣船石鼓”是北大荒书法艺术长廊中的一大型组合石刻，该石刻由两面石鼓和一船型条石组成，石鼓上是著名书法家陈陵陀书写的小篆，一为“金石乐寿”，一为“书画春永”。船型石则取其自然天成，其中一面书“瀚园击鼓、墨海行舟”，是对密山广大书法爱好者不懈追求的写照。,7:00——18:00,https://img1.qunarzz.com/travel/poi/201211/19/a8fe2bed4018811cddb12cfb.jpg_480x360x95_6dc1008d.jpg,--,,,免费,,1
莲花泡风景区Lianhuapao Sceneic Area,http://travel.qunar.com/p-oi715427-lianhuapaofengjingqu,,莲花泡风景区位于鸡西密山市境内兴凯湖畔。西侧是巍峨的密山口岸国门和王震将军纪念碑，东侧是芦苇荡和绿草地，南侧是碧波万顷的兴凯湖。整个景区融花、草、树、木、水、禽等多种景色为一体，是当地的游览胜地。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/311e70cb623071090876b68586aab672.jpg_480x360x95_60bd3cd8.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
巴愣河,http://travel.qunar.com/p-oi708653-balenghe,"

地址:
黑龙江-鸡西东南方向三十公里处

","巴楞河旅游风景区是省级AA级风景区，位于鸡东县东南方向三十公里处，与俄罗斯接壤，地理位置优越，交通十分便利。巴楞山旅游风景区自然风光优美独特、景色怡人，素有北国小镜泊湖的美称，也有五大连池的幽静，群山丛中充满了鸟语花香，站在水库大坝上向下俯视，那飞泻的水波隆隆作响，可谓是“飞流直下翻巨浪，波涛滚滚向东流”的壮丽景观。 巴楞山旅游风景区设施齐全，欧式风格的巴楞山宾馆，市老干部山庄、市地税培训中心同时为游人开放。有能载60人的游船,有快如闪电的快艇，让您尽...巴楞河旅游风景区是省级AA级风景区，位于鸡东县东南方向三十公里处，与俄罗斯接壤，地理位置优越，交通十分便利。巴楞山旅游风景区自然风光优美独特、景色怡人，素有北国小镜泊湖的美称，也有五大连池的幽静，群山丛中充满了鸟语花香，站在水库大坝上向下俯视，那飞泻的水波隆隆作响，可谓是“飞流直下翻巨浪，波涛滚滚向东流”的壮丽景观。 巴楞山旅游风景区设施齐全，欧式风格的巴楞山宾馆，市老干部山庄、市地税培训中心同时为游人开放。有能载60人的游船,有快如闪电的快艇，让您尽情享受大自然带给您的新鲜、刺激，有占地10000平方米的水上乐园，新建的彩弹射击场带给孩子无穷的乐趣。石壁上的迎客松、石猴观海、八戒望月、双僧拜佛、石林矗立，形态逼真，特别是战后遗址小炉台，更能让您感到战争的腥风血雨，难忘过去的岁月。从远处看，八棱山上的仙狐山，烟雾缭绕、景色迷人。鸡西地区独一无二的水上漂流，把您带入童话世界。",全天,,--,,,免费,,1
铁西森林公园Tiexi Forest Park,http://travel.qunar.com/p-oi39814723-tiexisenlingongyuan,,,,,0.0,,,,,1
鸡西市体育会展中心,http://travel.qunar.com/p-oi39720474-jixishitiyuhuizhanzhong,,,,,0.0,,,,,2
净土寺,http://travel.qunar.com/p-oi39640406-jingtusi,,,,,,,,,,2
年轮公园,http://travel.qunar.com/p-oi39438481-nianlungongyuan,,,,,,,,,,2
完达山公园,http://travel.qunar.com/p-oi38616374-wandashangongyuan,,,,,--,,,具体收费情况以现场公示为主,,2
