名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
云梦山风景区Yunmeng Mountain Scenic Spot,http://travel.qunar.com/p-oi715190-yunmengshanfengjingqu,,,,,,,,,,1
大伾山景区Da Pi Mountain Scenic Spot,http://travel.qunar.com/p-oi7468407-dapishanjingqu,,,,,,,,,,1
三兴康乐村,http://travel.qunar.com/p-oi709972-sanxingkanglecun,,三兴集团淇滨康乐村地处豫北明珠鹤壁市。它南依悠悠淇水。西靠巍巍太行。四季气候宜人。周围名胜星罗密布（中华第一古军校――云梦山、大丕山名胜风景区、天然太极图等）。它交通便利，毗邻京广铁路、京珠高速公路、107国道。距首都北京仅需六个小时车程。距省会郑州仅需二个小时。三兴集团温泉度假村实用总面积近200亩，依鹤壁市特有的地貌――丘陵地带而建，整体西高东低，呈阶梯形式。2平方公里内无工厂噪声或其他污染排放源，周围阡陌交错，一派田园自然景象。是喧嚣都市中难得...三兴集团淇滨康乐村地处豫北明珠鹤壁市。它南依悠悠淇水。西靠巍巍太行。四季气候宜人。周围名胜星罗密布（中华第一古军校――云梦山、大丕山名胜风景区、天然太极图等）。它交通便利，毗邻京广铁路、京珠高速公路、107国道。距首都北京仅需六个小时车程。距省会郑州仅需二个小时。三兴集团温泉度假村实用总面积近200亩，依鹤壁市特有的地貌――丘陵地带而建，整体西高东低，呈阶梯形式。2平方公里内无工厂噪声或其他污染排放源，周围阡陌交错，一派田园自然景象。是喧嚣都市中难得的一方清静之地。目前康乐村是我市乃至周边地区唯一的一所大型娱乐场所，三兴集团淇滨康乐村内绿树成荫、鸟语花香，是一所集体休闲、娱乐、餐饮、服务、旅游为一体的大型娱乐场所，下辖大型温泉洗浴中心、室内游泳馆、大型健康房、餐饮部（以蒙古包为特色，共计13个）水上乐园（标准池、冲浪池、儿童池、环流池、高空滑道）客房部、三兴旅行社，形成了吃、住、行、游、娱一条龙的服务体系。,,,5.0,,,,,1
大胡村李尚书府,http://travel.qunar.com/p-oi39851746-dahucunlishangshufu,,,,,0.0,,,,,1
马横岭村,http://travel.qunar.com/p-oi39460059-mahenglingcun,,,,,0.0,,,,,1
石老公村,http://travel.qunar.com/p-oi39439895-shilaogongcun,,,,,0.0,,,,,1
盘石头风景区,http://travel.qunar.com/p-oi39439874-panshitoufengjingqu,,,,,0.0,,,,,1
盘石头水库,http://travel.qunar.com/p-oi39438488-panshitoushuiku,,,,,0.0,,,,,1
阿斗寨,http://travel.qunar.com/p-oi39418496-adouzhai,,,,,0.0,,,,,1
王家辿,http://travel.qunar.com/p-oi39418455-wangjiachan,,,,,5.0,,,,,1
赵庄景区,http://travel.qunar.com/p-oi39160251-zhaozhuangjingqu,,,,,0.0,,,,,2
龙岗欢乐世界,http://travel.qunar.com/p-oi38818623-longganghuanleshijie,,龙岗欢乐世界,,,0.0,,,,,2
荆轲冢景区,http://travel.qunar.com/p-oi38340430-jingkezhongjingqu,,,,,--,,,具体收费情况以现场公示为主,,2
淇水樱华园,http://travel.qunar.com/p-oi38336556-qishuiyinghuayuan,,,,,,,,,,2
卫河,http://travel.qunar.com/p-oi38034963-weihe,,,,,--,,,具体收费情况以现场公示为主,,2
金山旅游区,http://travel.qunar.com/p-oi38022548-jinshanlu:youqu,"

地址:
河南省鹤壁市淇滨区金山办事处

",鹤壁市淇滨金山旅游区，国家3A级景区。位于河南省鹤壁市淇滨区金山办事处。毗邻京广铁路、京珠高速公路、107国道。距鹤壁市中心5公里。是以佛教文化为特色的历史文化类人文风景旅游区。2004年成立金山寺景区管理处，正式对其进行开发和建设。因春秋战国时期著名的思想家、政治家、教育家、墨家创始人墨子在此地居住多年，当地又有人称金山为“墨山”。坐落于此的金山嘉佑禅寺始建于唐代，重修于北宋嘉佑年间，是一座佛教文化浓重的千年古刹。,全年 08:00-18:00,,--,建议游览时间：12小时 - 3天,,,,2
龙岗人文小镇,http://travel.qunar.com/p-oi36920574-longgangrenwenxiaozhen,"

地址:
鹤壁市淇滨区拥军大道与八一路交叉口南100米


电话:
18003826656

",龙岗人文小镇作为乡村振兴示范园的核心区域，总规划建设面积800余亩，目前已完成投资2.3亿元，相继建成了党群广场、酒吧街、创意餐厅、活力运动、火锅公园、户外烧烤、文化礼堂、生态停车等10余个项目，五星假日酒店、研学基地等项目正在规划当中，着力打造全要素文旅融合综合体。,全年 08:00-18:30,,4.9,建议游览时间：12小时 - 3天,,58元,,2
纣王殿村,http://travel.qunar.com/p-oi36121564-zhouwangdiancun,,位于河南省淇县、林州市、卫辉市三地交界处。相传纣王在这里屯兵，故这里的一花一木几乎都和纣王有关。有三县脑、云岭烟雨、仙人洞、纣王殿石头城、回音壁等景点。,,,--,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2
双塔寺风景区,http://travel.qunar.com/p-oi36082711-shuangtasifengjingqu,"

地址:
鹤壁市淇滨区大河涧乡

",双塔寺位于悬崖之上，下面是淇河水流，主要有东西两座古老的塔而称为双塔。,全年 全天开放,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,2
高村桥,http://travel.qunar.com/p-oi36082426-gaocunqiao,"

地址:
河南省鹤壁市淇县

",,全年 全天开放,,--,,,具体收费情况以现场公示为主,,2
千佛寺,http://travel.qunar.com/p-oi36066309-qianfosi,"

地址:
鹤壁市浚县

",,全年 8:00-18:00,,0.0,,,具体收费情况以现场公示为主,,3
子贡墓,http://travel.qunar.com/p-oi36064545-zigongmu,"

地址:
鹤壁市浚县

",,全年 全天开放,,--,,,,,3
三县脑,http://travel.qunar.com/p-oi36036311-sanxiannao,"

地址:
新乡市卫辉市

",,全年 全天开放,,--,,,具体收费情况以现场公示为主,,3
鹿台阁Lutai Pavilion,http://travel.qunar.com/p-oi35832339-lutaige,,,,,,,,,,3
"云梦山风景区-无生老母殿Palace of the Highest Female Deity, Yunmeng Mountain Scenic Area",http://travel.qunar.com/p-oi35677451-yunmengshanfengjingqu,,,,,--,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
郭家岗村Guojiagang Village,http://travel.qunar.com/p-oi35302787-guojiagangcun,,,,,--,,,具体收费情况以现场公示为主,,3
淇河国家湿地公园Qihe National Wetland Park,http://travel.qunar.com/p-oi35216916-qiheguojiashidigongyuan,,淇河国家湿地公园主要包括生态保育区、生态恢复区、合理利用区、科普宣教区及管理服务区，现已完成管理服务区道路、停车场、观景平台、下山台阶等基础设施与科普宣教区等工程。目前，规划区内已完成造林约1300亩，初步形成了适合鸟类生存、展现湿地特色的生态景观。,,,3.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
狐仙庙景区Huxianmiao Scenic Area,http://travel.qunar.com/p-oi35216757-huxianmiaojingqu,,,,,--,,,具体收费情况以现场公示为主,,3
朝歌文化公园Chaoge Culture Park,http://travel.qunar.com/p-oi35216361-chaogewenhuagongyuan,,朝歌文化公园是以淇河边的鹿台遗址为中心而建设的大型殷商主题文化公园。文化公园景色宜人，环境清新，非常适合老人养生和带孩子游玩。,,,4.7,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
七里沟风景区Qiligou Scenic Area,http://travel.qunar.com/p-oi35214826-qiligoufengjingqu,,七里沟风景区位于河南省鹤壁市淇滨区，植被覆盖率高，山水环绕，景色优美。景区周围农家乐设施齐全，是您休闲度假的好地方。,,,0.0,,,具体收费情况以现场公示为主,,3
朝歌Chaoge,http://travel.qunar.com/p-oi35213740-chaoge,,,,,5.0,,,具体收费情况以现场公示为主,,4
浚县古城Old Town of Xun,http://travel.qunar.com/p-oi34950983-junxiangucheng,,浚县位于河南北部，隶属河南省鹤壁市，是中国国家历史文化名城、中国民间文化艺术之乡。浚县古城景区是将古城墙、世袭翰林府、关圣庙、明清四合院、县衙、文庙联合一起的景区，着重体现浚县的千年文化传承。,,,4.2,建议游览时间：1小时 - 5小时,,具体收费情况以现场公示为主,,4
淇县博物馆Qixian Museum,http://travel.qunar.com/p-oi34276900-qixianbowuguan,"

地址:
鹤壁市淇县淇河路为民服务中心三楼

",,全年 周二-周日 9:00-17:00,,--,,,免费,,4
石林会议旧址纪念馆Shilinhuiyi Site Memorial Hall,http://travel.qunar.com/p-oi34273409-shilinhuiyijiuzhijinian,"

地址:
鹤壁市山城区陶源大道（街、道）46号

",,全年 9:00-17:00,,5.0,建议游览时间：1小时 - 2小时,,免费,,4
鹤壁窑博物馆Hebiyao Museum,http://travel.qunar.com/p-oi34271691-hebiyaobowuguan,"

地址:
河南省鹤壁市鹤山区鹤壁集镇鹤山街西段

",,全年 周二-周日 9:00-17:00,,4.7,,,免费,,4
摘星台公园Zhaixingtai Park,http://travel.qunar.com/p-oi33170911-zhaixingtaigongyuan,,,,,0.0,,,,,4
鹤壁鹤鸣湖景区Hebiheminghu Sceneic Area,http://travel.qunar.com/p-oi26639676-hebiheminghujingqu,,鹤鸣湖位于汤河下游的鹤壁市山城区石林镇，前身是汤河水库，景区水域面积一万余亩，八个岛屿分布其中。这里鸥燕成群、百鸟竞飞。地处我国候鸟迁徙中线，有灰鹤、白鹭、苍鹭、丹顶鹤、天鹅及鸬鹚等10多个种群在此栖息。春季，大批白天鹅迁徙途径鹤鸣湖，良好的生态吸引它们在此栖息逗留数日，给鹤鸣湖增添了无限生机。,,,4.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,4
北鹤园林绿化工程有限公司,http://travel.qunar.com/p-oi26584553-beiheyuanlinlu:huagong,,,,,,,,,,4
三仁祠Sanren Temple,http://travel.qunar.com/p-oi24411733-sanrenci,,,,,0.0,,,具体收费情况以现场公示为主,,4
淇县灵山寺Lingshan Mountain Temple of Qi County,http://travel.qunar.com/p-oi24411453-qixianlingshansi,,,,,--,,,具体收费情况以现场公示为主,,4
浚县古城墙Ancient City Wall of Jun County,http://travel.qunar.com/p-oi24393516-junxianguchengqiang,"

地址:
鹤壁市浚县西大街与菜园街交叉口东北侧


电话:
0392-5566027

",浚县古城墙位于河南省鹤壁市浚县，现存卫河沿岸段城墙（长768米）及姑山南侧城墙遗迹（只余夯土）。2000年9月，浚县古城墙被列入第三批河南省文物保护单位；2013年，浚县古城墙及文治阁被列入第七批全国重点文物保护单位。,全天开放；登城墙时间8:00-18:00；详情请以景区当天现场公示为准。,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/db5faac3-ea67-48e0-90b0-df0fb6dcf042.jpg,4.1,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
淇河诗园Qihe Poetry Garden,http://travel.qunar.com/p-oi23344511-qiheshiyuan,,,,,--,,,具体收费情况以现场公示为主,,5
碧霞宫Bixia Palace,http://travel.qunar.com/p-oi23343516-bixiagong,,碧霞宫始建于明嘉靖二十一年，历时21年落成。后经明、清年间多次重修扩建，占地约11160平方米，殿宇楼阁87间，是一处规模宏大，布局严谨，保存完整的古代建筑群，现为全国重点文物保护单位。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/37d506c242c34aa9650150f41fb72e9c.jpg_480x360x95_c81a2329.jpg,4.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
孙思邈洞Sun Simiao Cave,http://travel.qunar.com/p-oi23342611-sunsimiaodong,,,,,,,,,,5
罗贯中隐居地Luo Guanzhong Seclusively,http://travel.qunar.com/p-oi23342610-luoguanzhongyinjudi,,,,,--,,,具体收费情况以现场公示为主,,5
天然太极图景区Tianran Taijitu Scenic Area,http://travel.qunar.com/p-oi23342609-tianrantaijitujingqu,"

地址:
鹤壁市淇滨区上峪乡境内淇河南山段


电话:
0392-2700638

",天然太极图景区内有青岩绝千佛洞、北魏群佛石雕、绍圣摩崖留笔、元代参天古柏、明代玲珑石塔、清代古寺楼阁等，是一个山水型自然风景旅游区。,9:00-18:00,,4.3,建议游览时间：1小时 - 3小时,,"{'淇河天然太极图门票成人票\n\n': ['¥25起'], '天然太极图电子导览服务大小同价\n\n': ['¥7起']}",,5
"淇滨康乐村Kangle Village, Qibin District",http://travel.qunar.com/p-oi23342608-qibinkanglecun,,,,,,,,,,5
枫岭公园(山城路店)Fengling Park (East Gate),http://travel.qunar.com/p-oi23341945-fenglinggongyuan,,枫岭公园面积很大，园内有人工湖，儿童娱乐项目，设施齐全，是一个环境优美的现代公园。,,,0.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
淇县朝阳山景区Chaoyang Temple,http://travel.qunar.com/p-oi23338133-qixianchaoyangshanjing,,淇县朝阳山景区是国家3A级景区。位于河南省鹤壁市淇县的西部。京广铁路、107国道和京珠高速公路均经淇县。距鹤壁市中心约15公里。是以殷商文化为主要特色的历史文化类人文风景旅游区。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b85800a843117483d6ce380514243122.jpg_480x360x95_824c3c4f.jpg,4.0,建议游览时间：12小时 - 3天,,"{'淇县朝阳山景区门票成人票\n\n': ['¥22起'], '淇县朝阳山景区门票儿童票\n\n': ['¥15起'], '淇县朝阳山景区电子导览服务大小同价\n\n': ['¥12起']}",,5
上峪村火山口Volcanic Vent of Shangyu Village,http://travel.qunar.com/p-oi23059840-shangyucunhuoshankou,,,,,--,,,具体收费情况以现场公示为主,,5
蓝湾公园Lanwan Park,http://travel.qunar.com/p-oi20978035-lanwangongyuan,,蓝湾公园位于河南省鹤壁市浚县，交通便利，占地面积广，是您休闲散步的好地方。,,,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
金星啤酒音乐美食广场Jinxing Pijiu Yinyue Meishi Square,http://travel.qunar.com/p-oi20976678-jinxingpijiuyinlemeishi,,金星啤酒音乐美食广场是当地较热闹繁华的地方了。这里当地美食应有尽有。是美食爱好者的打卡场所之一。,,,4.0,建议游览时间：1小时 - 2小时,,,,6
青岩绝石窟Grassy Stone Cavern,http://travel.qunar.com/p-oi20952521-qingyanjueshiku,,,,,--,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
五里鬼谷Wuli Ghost Valley,http://travel.qunar.com/p-oi20898078-wuliguigu,"

地址:
河南省淇县云梦山

",,全年 全天开放,,--,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,6
卫国故城Ancient City of Wei Country,http://travel.qunar.com/p-oi20898046-weiguogucheng,,,,,--,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,6
鹤壁市山城区烈士陵园Hebi Shancheng Martyrs' Cemetery,http://travel.qunar.com/p-oi19978365-hebishishanchengqulie,,,,,--,,,具体收费情况以现场公示为主,,6
黄庙沟森林公园Huangmiaogou Provincial Forest Park,http://travel.qunar.com/p-oi19978052-huangmiaogousenlingong,,公园里树木茂盛，植物的种类很多，还有五百多年树龄的古树，一年四季的风景都很美。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4905618129844bf20c3fa3ea885555f6.jpg_480x360x95_6e3c159e.jpg,0.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,6
玉皇顶庙Yuhuang Dingmiao,http://travel.qunar.com/p-oi19977591-yuhuangdingmiao,,玉皇顶庙位于淇县，始建于公元1590年，占地面积12.5亩，建筑面积四千多平方米，里面的建筑有龙王殿、龙母殿和玉皇大殿等。,,,--,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
古典艺术博物馆Hebi Coal Industry Group Gudian Yishu Museum,http://travel.qunar.com/p-oi19977548-gudianyishubowuguan,,,,,,,,,,6
故县汉代冶铁遗址Lulou Iron-smelt Relic Site,http://travel.qunar.com/p-oi19977480-guxianhandaiyetieyizhi,,,,,5.0,,,具体收费情况以现场公示为主,,6
督财府Ducaifu,http://travel.qunar.com/p-oi19977322-ducaifu,,,,,--,,,具体收费情况以现场公示为主,,7
南海观音殿Nanhai Avalokitesvara Temple,http://travel.qunar.com/p-oi19977242-nanhaiguanyindian,,,,,--,,,具体收费情况以现场公示为主,,7
悬空寺Suspended Temple,http://travel.qunar.com/p-oi19977188-xuankongsi,,悬空寺是一个依山建造，绝壁而生、建在山间的半山腰处的独特寺庙。因在东魏时期就已建造，所以是我国文化发展中具有很深厚历史的寺庙。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f099f9478dc731c4e8a924240c2a46cd.jpg_480x360x95_fe9b1d73.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,7
可以观Keyiguan,http://travel.qunar.com/p-oi19977086-keyiguan,,,,,--,,,具体收费情况以现场公示为主,,7
朝阳悬空寺Chaoyang Xuankong Temple,http://travel.qunar.com/p-oi19977042-chaoyangxuankongsi,,寺庙依山建造，飞檐凌空，从远看就如同空中楼阁，故取名为悬空寺。寺庙气势雄伟，整体雄伟大气，十分壮观。,,,0.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,7
鹤壁市教堂中心堂Hebi Church Central Hall,http://travel.qunar.com/p-oi19977028-hebishijiaotangzhongxin,,,,,5.0,,,,,7
佛祖殿(伾浮路)Fozudian,http://travel.qunar.com/p-oi19977023-fozudian,,,,,0.0,,,具体收费情况以现场公示为主,,7
清真寺Mosque,http://travel.qunar.com/p-oi19977019-qingzhensi,,,,,0.0,,,,,7
崇庆寺Chongqing Temple,http://travel.qunar.com/p-oi19977016-chongqingsi,,,,,--,,,,,7
淇滨乐园Qibin Gardaland,http://travel.qunar.com/p-oi19977004-qibinleyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8d7b07d2b063afda51f464ba608ae606.jpg_480x360x95_41e94244.jpg,--,,,具体收费情况以现场公示为主,,7
三佛禅寺Sanfuchan Temple,http://travel.qunar.com/p-oi19973605-sanfoshansi,,,,,,,,,,9
浚县东关基督教堂Junxiandongguan Christ Church,http://travel.qunar.com/p-oi19973604-junxiandongguanjidujiao,,,,,--,,,具体收费情况以现场公示为主,,9
桃园公园Tao Park,http://travel.qunar.com/p-oi19973599-taoyuangongyuan,,,,,0.0,,,,,9
中央公园Zhongyang Park,http://travel.qunar.com/p-oi19973592-zhongyanggongyuan,,,,,,,,,,9
街心花园Jiexin Garden,http://travel.qunar.com/p-oi19973578-jiexinhuayuan,,,,,,,,,,9
古城遗址Gucheng Ruins,http://travel.qunar.com/p-oi19973565-guchengyizhi,,,,,--,,,具体收费情况以现场公示为主,,9
质量公园Zhiliang Park,http://travel.qunar.com/p-oi19973564-zhilianggongyuan,,,,,--,,,具体收费情况以现场公示为主,,9
和盛·中央公园Hesheng· Zhongyang Park,http://travel.qunar.com/p-oi19971829-heshengzhongyanggongyuan,,,,,--,,,具体收费情况以现场公示为主,,9
五环啤酒广场Wuhuanpijiu Square,http://travel.qunar.com/p-oi19967841-wuhuanpijiuguangchang,,,,,--,,,,,9
淇河金沙滩Qihe Golden Beach,http://travel.qunar.com/p-oi19570432-qihejinshatan,,金沙滩度假区是淇河生态文化观光带的窗口景点，鹤壁城市郊区休闲的主要目的地。其功能定位为时尚水上运动与特色餐饮的休闲场所。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/de72930aa6977a72fec48ffb4bfeb4bd.jpg_480x360x95_9b3a2eec.jpg,4.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,9
第三只眼3d奇趣艺术馆Disan Zhi Yan 3D Qiqu Art Museum,http://travel.qunar.com/p-oi19560867-disanzhiyan3dqiquyishu,"

地址:
朝歌里人文小镇


电话:
0392-2277991

",,全年 9:00-20:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/1581ad6fa14a93f428a8b875819a9cb4.jpg_480x360x95_5d4d7002.jpg,--,,,,,10
小庄剧场,http://travel.qunar.com/p-oi19536627-xiaozhuangjuchang,,,,,--,,,,,10
淇县电教中心技术站,http://travel.qunar.com/p-oi19531329-qixiandianjiaozhongxin,,,,,--,,,,,10
彩泥画廊,http://travel.qunar.com/p-oi19531030-cainihualang,,,,,,,,,,10
淇滨区图书馆Qibinqu Library,http://travel.qunar.com/p-oi19517180-qibinqutushuguan,,,,,,,,,,10
云梦玫瑰庄园(淇县店)Yunmengmeigui Manor (qixian),http://travel.qunar.com/p-oi19509677-yunmengmeiguizhuangyuan,,,,,--,,,具体收费情况以现场公示为主,,10
易学书画苑,http://travel.qunar.com/p-oi19505321-yixueshuhuayuan,,,,,,,,,,10
新大河美术书法学校,http://travel.qunar.com/p-oi19505179-xindahemeishushufaxue,,,,,--,,,,,10
鹤壁文博会趣味嘉年华,http://travel.qunar.com/p-oi19504738-hebiwenbohuiquweijianian,,,,,--,,,,,10
岳飞纪念馆Yue Fei Memorial Hall,http://travel.qunar.com/p-oi19503242-yuefeijinianguan,,,,,0.0,,,具体收费情况以现场公示为主,,10
