名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
萝北口岸,http://travel.qunar.com/p-oi706894-luobeikouan,,"萝北口岸地处黑龙江省东北部，小兴安岭南麓三江平原接壤处，黑龙江南岸萝北县名山镇境内。口岸从 1984 年开始申报， 1989 年 4 月 8 日经国家批准为国家一类口岸， 1992 中俄双方政府换文，正式确认 萝北――阿穆尔捷特这对岸为国际客货运输口岸。明水期进行船舶运输，冰封期进行汽车运输。在国家同意辟建、开放萝北口岸之后，县委县政府集全县之几，举全县之力累计投资 2 600 多万元人民币进行口岸的办公、生活及检查、栓验等基础设施建设，萝北县还在国家、省有关部门的大力支持下...萝北口岸地处黑龙江省东北部，小兴安岭南麓三江平原接壤处，黑龙江南岸萝北县名山镇境内。口岸从 1984 年开始申报， 1989 年 4 月 8 日经国家批准为国家一类口岸， 1992 中俄双方政府换文，正式确认 萝北――阿穆尔捷特这对岸为国际客货运输口岸。明水期进行船舶运输，冰封期进行汽车运输。在国家同意辟建、开放萝北口岸之后，县委县政府集全县之几，举全县之力累计投资 2 600 多万元人民币进行口岸的办公、生活及检查、栓验等基础设施建设，萝北县还在国家、省有关部门的大力支持下，围绕口岸开放，累计投资 3 亿元，集中建设了连接鹤岗到口岸的 60 公里高等级公路，新上万门程控电话和光缆通讯，新建 5000kw 口岸经济合作区的输变电站，改建 6000m 2 的中俄民贸市场 , 并投资 500 万元人民币 , 对名山口岸码头进行了改造 , 使其达到了年货物吞吐量 30 万吨的能力 , 成为黑龙江沿岸最大的煤炭输出港 . 为此 , 进一步完善了萝北对外开放的硬环境。 在冤仇环境建设上，鹤岗市委、市政府，萝北县委、县政府非常重视口岸型经济的发展相继出台了鹤岗市人民政府《关于扩大对外开放，加速繁荣口岸工作的决定》，萝北县委、县政府《关于萝北县名山开发区招商引资优惠政策》、《加快发展外向型经济的若干决定》，口岸委《关于萝北口岸若干优惠政策的规定》。这些优惠政策对口岩的建设和发展起到了积极的推动作用。目前，萝北口岸已经实现了通关速度最快捷，查验手续最简便，收费价格最合理，口岸环境最宽松的工作目标.",,,5.0,,,,,1
鹤岗国家森林公园Hegang National Forest Park,http://travel.qunar.com/p-oi710976-hegangguojiasenlingong,"

地址:
黑龙江省鹤岗市东山区四五二线道


电话:
0468-3738088

",鹤岗国家森林公园是于2002年创建的。占地面积8万亩，包括细鳞河民俗风情园、十里河生态风景区和桶子沟原始天然红松母树林。公园内群山连绵，森林茂密，鸟语花香，河流纵横，登山远望，重峦叠翠，烟波浩渺如波涛汹涌之大海，令人心旷神怡。这里大片的森林湿地保持着原始风貌，栖息着大量水鸟和珍禽，如天鹅、鸳鸯等。优良的生态环境极具保护价值。 红松原始森林古木参天，溪流潺潺，气温光暗，朽木、枯树时隐时现，展示着它的古老与沧桑。漫步林中，可一览原始森林风光，感悟大自然的魅力。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/389c95d807c6d8d02d7b1568df963e4c.jpg_480x360x95_b74ec597.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
松鹤西湖滑雪狩猎场,http://travel.qunar.com/p-oi709582-songhexihuhuaxueshoulie,"

地址:
西郊松鹤西湖公园的笃斯山

",该场位于西郊松鹤西湖公园的笃斯山，山上有两条长800米的雪道和一个小动物狩猎场，山下湖中有冰上旅游项目，包括：滑冰、冰滑梯、冰上保龄球、狗拉雪撬等，是冬季溜冰滑雪的乐园。,8:00 - 16:00,,--,,,20元,,1
萝北名山景区Luobei Famous Mountain Scenic Area,http://travel.qunar.com/p-oi708183-luobeimingshanjingqu,"

地址:
鹤岗市萝北县名山镇331国道北


电话:
0468-6823312

",名山风景区坐落在黑龙江上的名山岛，南临萝北口岸，北望俄罗斯的阿穆尔捷特。江水环绕，古木森森，鸟鸣嘤嘤，野趣横生，一派质朴、粗犷、天然无饰的自然生态风光。岛上土质肥沃，树木成林，植被茂密，生长着桦、柳、榆、杨等多种阔叶树木及狐狸、黄鼬、貂子等许多小型杂食动物，并且还是鹭鸶等水禽夏候鸟的栖息地。经多年的江水冲刷，岸边坍塌，沙滩扩大，江汊增宽，此岛面积虽有缩小，因四周长有茂盛的柳树，对岛屿起到了保护作用，故而此岛的面积变化不大。名山岛外形酷似一条龙，相传黑龙江的龙王曾在此抗击白龙，后卧身于此，此岛又称黑龙岛。名山岛东西长3500米，南北宽500米。自西向东分为水上游览区、综合游览区、别墅区、演通讲寺、园林狩猎区五大功能区。岛上沙滩平缓，是天然浴场，又可览异国风情。,全年 6:30-17:30,https://img1.qunarzz.com/piao/fusion/1810/53/4de700c16fb63702.jpg_480x360x95_43bdc075.jpg,4.4,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
将军石山庄,http://travel.qunar.com/p-oi706152-jiangjunshishanzhuang,,将军石山庄(国家3A级风景区)――始建于1974年。当时是知青点。1986年改建并起名为将军石山庄。位于鹤岗市南郊21公里处，地处小兴安岭南麓，与佳木斯、伊春交界，景色旖丽，是我市唯一一处具有悠久历史文化传说的旅游景点。将军石山、横盘山扼守山庄南北，形成两道绿色屏障。截饮马河、阿凌达河而成阿凌达湖。传说清太祖努尔哈赤命扈尔汉和安弗扬古二将国在将军石山密林造船二百余艘，分水陆两军共二千多人沿阿凌达河南下，统一了东北女真各部，为纪念努尔哈赤统一东北这一重大历史事件...将军石山庄(国家3A级风景区)――始建于1974年。当时是知青点。1986年改建并起名为将军石山庄。位于鹤岗市南郊21公里处，地处小兴安岭南麓，与佳木斯、伊春交界，景色旖丽，是我市唯一一处具有悠久历史文化传说的旅游景点。将军石山、横盘山扼守山庄南北，形成两道绿色屏障。截饮马河、阿凌达河而成阿凌达湖。传说清太祖努尔哈赤命扈尔汉和安弗扬古二将国在将军石山密林造船二百余艘，分水陆两军共二千多人沿阿凌达河南下，统一了东北女真各部，为纪念努尔哈赤统一东北这一重大历史事件，修建了“将军石山庄”人们称此山为将军石山，称山上大石为将军石。 将军石山庄一条2000多米长的环湖路和蜿蜒的湖堤象两条白玉带飘向远方；上山的青石台阶和山庄青山、绿树怪石自然景观结合在一起，组成了一道亮丽的景观。 将军石山山高石险，绿树成荫，登上将军石，让您既有“会当凌绝顶，一览众山小”的感慨，又有文人墨客“指点将山激扬文字”的豪情，更能领悟到“无限风光在险峰”的意境。阿凌达湖鱼肥水美，水清湖秀。远远望去象一面硕大的镜子映衬着蓝天白云，湖面上来回航行的龙船和惊险刺激的快艇也不时的传来游人们的欢笑声，无论是荡起双桨还是岸边垂钓，沙滩浴场还是绿荫纳凉漂流，都会为这秀丽的湖景拍手叫好。 阿凌达湖大酒店格调幽雅，300余人可在环境舒适餐厅就餐，豪华的客房可以满足不同阶层的住宿需求，独具特色的纯天然无污染的阿凌达湖鱼、农家小笨鸡、山野菜等绿色食品，更让人一饱口福。 将军石山庄的雄伟，山水的秀丽，山石的魅力，山树的精神，构成了集旅游，度假，观光，探古的圣地。她的神奇吸引着国内外广大的旅游者到来。,,,--,,,,,1
中俄龙江三峡,http://travel.qunar.com/p-oi707212-zhongelongjiangsanxia,,,,,,,,,,1
鹤岗小兴安岭林区,http://travel.qunar.com/p-oi709380-hegangxiaoxinganlinglin,,鹤岗与萝北县的西部均为小兴安岭的林区，共有三块面积较大的原始森林保护区，其中面积最大是位于鹤岗林业局联营红松母树保护区。这里古树参天、松涛滚滚。市区西部的金顶山原始森林保护区最长的树龄达到千年，沐浴在原始森林中，才能真正感受回归大自然的感觉。,,,--,,,,,1
华安军工旅游区,http://travel.qunar.com/p-oi715004-huaanjungonglu:youqu,"

地址:
黑龙江-哈尔滨

",座落在黑龙江上的名山岛，南临萝北口岸，北望俄罗斯的阿穆尔捷特。江水环绕，古木森森，鸟鸣嘤嘤，野趣横生，一派质朴、粗犷、天然无饰的自然生态风光。名山岛为江水中冲积而形成的岛屿，形成于清代末年，民国初期已成岛屿。岛上土质肥沃，树木成林，植被茂密，生长着桦、柳、榆、杨等多种阔叶树木及狐狸、黄鼬、貂子等许多小型杂食动物，并且还是鹭鸶等水禽夏候鸟的栖息地。经多年的江水冲刷，岸边坍塌，沙滩扩大，江汊增宽，此岛面积虽有缩小，因四周长有茂盛的柳树，对岛屿起到了保...座落在黑龙江上的名山岛，南临萝北口岸，北望俄罗斯的阿穆尔捷特。江水环绕，古木森森，鸟鸣嘤嘤，野趣横生，一派质朴、粗犷、天然无饰的自然生态风光。名山岛为江水中冲积而形成的岛屿，形成于清代末年，民国初期已成岛屿。岛上土质肥沃，树木成林，植被茂密，生长着桦、柳、榆、杨等多种阔叶树木及狐狸、黄鼬、貂子等许多小型杂食动物，并且还是鹭鸶等水禽夏候鸟的栖息地。经多年的江水冲刷，岸边坍塌，沙滩扩大，江汊增宽，此岛面积虽有缩小，因四周长有茂盛的柳树，对岛屿起到了保护作用，故而此岛的面积变化不大。位置与面积：位于萝北县，距中国江岸200m，距俄方江岸900m，总面积1.00km2.旅游开发与保护：近几年，由于旅游业的发展，地方政府拟辟此岛为旅游景区，已修建了名山岛了望塔、名山岛金沙滩浴场、名山岛度假村、犹太人风情园、俄罗斯风情园、龙王庙。岛上已开始规划，规划有水上游览区、综合游乐区、别墅区、综合贸易区、园林休闲区。并对岛上的生态进行了保护，严禁在岛上开荒渔猎。,全天,,--,,,15元,,1
人民广场,http://travel.qunar.com/p-oi38337465-renminguangchang,,,,,--,,,具体收费情况以现场公示为主,,1
尚志公园,http://travel.qunar.com/p-oi38336959-shangzhigongyuan,,,,,4.3,,,,,1
