名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
龙虎山博物馆,http://travel.qunar.com/p-oi36272222-longhushanbowuguan,,,,,,,,,,1
龙虎山风景区Mount Longhu Scenic Area,http://travel.qunar.com/p-oi722967-longhushanfengjingqu,,,,,,,,,,1
青茅境景区,http://travel.qunar.com/p-oi40011337-qingmaojingjingqu,, 青茅境景区集休闲度假、避暑纳凉、森林康养、林业科普摄影等于一体，景区平均海拔在900米以上，背靠江西省国家自然保护区，拥有鹰潭最高海拔1540.9米的阳际峰。境内群峰峻拔、绿峦叠翠，森林覆盖率高达98%，素有“小庐山”、大自然空调室之称。被誉为“天然氧吧”及“负氧离子浴场”。景区内景色优美，尤以竹海、峰高、庙宇、瀑布、高山草甸、古道、古寨、城墙等为显著特色。 目前开发的景点主要有观景台、竹博园、户外拓展基地、罗塘河源、青茅境高山草甸、相思谷、野生猕猴场、神仙居生活体验馆、泸溪河源、香菇采摘园、三叠泉瀑布等。 春天，万顷森林绿意盎然、雨后春笋鳞次栉比、野菊山兰暗香疏影。夏天，幽幽竹林，凉风袭人沁人心扉，阵雨过后，青山环抱云遮雾绕，是看日出日落，观云海的时期。秋天，登高望远极目远眺，美景美境尽收眼底，踏着松软的高山草甸、看层林尽染天蓝云白。冬天，万千雪景、雾凇奇石各显奇葩。,,,0.0,,,,,1
江西圣井山景区,http://travel.qunar.com/p-oi39627513-jiangxishengjingshanjing,,,,,0.0,,,,,1
白鹤湖嘻嘻哩生态水世界,http://travel.qunar.com/p-oi39411618-baihehuxixilishengtai,,白鹤湖嘻嘻哩生态水世界是一个以自然山水为底蕴，拥有多元休闲体验、参与互动性强的微度假旅游目的地。精心打造的滨湖休憩区、山地拓展区、萌宠互动区、深水运动区、田园体验区、轻奢度假区等30余个互动娱乐项目，将为各年龄段的游客带来自然野趣和欢乐体验。,,,0.0,,,,,1
茨荸弄老县衙,http://travel.qunar.com/p-oi39030235-cibinonglaoxianya,,,,,0.0,,,,,1
香炉峰,http://travel.qunar.com/p-oi38638610-xianglufeng,,,,,,,,,,1
月湖岩公园,http://travel.qunar.com/p-oi38336625-yuehuyangongyuan,,,,,4.0,,,具体收费情况以现场公示为主,,1
龙头山景区,http://travel.qunar.com/p-oi38336117-longtoushanjingqu,,,,,0.0,,,具体收费情况以现场公示为主,,1
鹰潭市美术馆,http://travel.qunar.com/p-oi38035211-yingtanshimeishuguan,,,,,,,,,,1
鹰潭火车文化园,http://travel.qunar.com/p-oi38011136-yingtanhuochewenhuayuan,"

地址:
江西省鹰潭市信江新区江北街道办事处周塘村火车文化园ZT-50号


电话:
0701-6311686

",1957年，一声震耳欲聋的轰鸣声，鹰厦铁路以其庞大的身影划破了大地平静，它凝结着无数铁路人的心血与智慧，见证了六十多年来鹰潭的荣辱兴衰、风雨变迁，承载着几代人的梦想与希望。 因为它，鹰潭成为了“火车拉来的城市”。如今，绿皮火车已完成历史使命，但回忆仍在，情怀依旧。鹰潭火车文化园的打造，正是为了让回忆活起来，怀旧风与现代感兼具的文化广场，有颇具年代感的四种蒸汽机车、绿皮火车和记录铁道故事的石雕环墙，还有创意十足的铁路微景观，用铁路轨道打造出钢琴和编钟，每一处细节都在将复古怀旧与时代创新共融，传承铁路文化，使这里成为鹰潭文化聚点的“露天活态博物馆”。,全年 09:00-21:00,,5.0,建议游览时间：2小时 - 3小时,,,,2
茨荸弄,http://travel.qunar.com/p-oi37806476-cibinong,,,,,0.0,,,具体收费情况以现场公示为主,,2
鹰潭YES夜市,http://travel.qunar.com/p-oi37805942-yingtanyesyeshi,,,,,4.5,,,具体收费情况以现场公示为主,,2
渡坊水村景区,http://travel.qunar.com/p-oi37532307-dufangshuicunjingqu,"

地址:
江西省鹰潭市贵溪市贵西线金屯镇渡坊村


电话:
19307028120

",渡坊水村景区位于贵溪市南部金屯镇渡坊村，渡坊原名“富房”，后曾改名为“土蕃”、“富畈”。渡坊以潘姓居多，潘姓祖先敏成公自元朝中期迁徙至此，潘姓传人在此繁衍生息，勤劳质朴，代代相传，村民生活富足、人才辈出。“擢秀第”、“旗杆石”就是最好的见证。坐落在青山绿水间的渡坊村，犹如一处远离市井喧嚣的桃花源古村落。青砖碧瓦，凝结着古韵乡愁；古桥水碓，承载满诗意情怀。渡坊水村景区规划面积1400余亩，项目立足于当地的优越的生态自然资源、丰富的历史人文资源结合农业发展基础，以打造原乡水村、农旅融合为定位，以农促旅、以旅强农助力推动乡村振兴。目前已开发有岗上玻漂、四季花田、潘氏宗祠、磨坊水碓、瑞敏古桥、景观长廊、擢秀第水街、儿童乐园、水上乐园等项目。二期将开发的项目包括：研学基地、步步惊心、七彩滑道、共享田园、野奢民宿、智慧康养等，最终打造成为融合休闲体验、观光娱乐、研学康养多元素的农旅综合体验区。渡坊水村玻璃漂流全长2.3公里，分为玻璃漂流1.5公里，山泉漂流0.8公里，全程途径宋溪坝、瑞敏古桥，沿途可观赏优雅婆娑的枫树、徽派古建、古老的磨坊水碓，享受扑鼻而来的稻田花香，体验高空玻璃的激情刺激，徜徉乡村的恬静自然，感受动与静的碰撞！,5/1-10/31 10:00-17:00,,0.0,建议游览时间：1小时 - 3小时,,景区内项目单收费,,2
车家垄,http://travel.qunar.com/p-oi35559208-chejialong,,,,,--,,,具体收费情况以现场公示为主,,2
张黄车家,http://travel.qunar.com/p-oi35559177-zhanghuangchejia,,,,,--,,,具体收费情况以现场公示为主,,2
龙岩峰山洞Cave of Longyan Peak,http://travel.qunar.com/p-oi35474358-longyanfengshandong,,,,,--,,,具体收费情况以现场公示为主,,2
豹虎塅,http://travel.qunar.com/p-oi35474209-baohuduan,,,,,--,,,具体收费情况以现场公示为主,,2
黄岗周家,http://travel.qunar.com/p-oi35317716-huanggangzhoujia,,,,,--,,,具体收费情况以现场公示为主,,2
周元塘苏家,http://travel.qunar.com/p-oi35316562-zhouyuantangsujia,,,,,--,,,具体收费情况以现场公示为主,,2
炭埠周家Tanbu Zhoujia Village,http://travel.qunar.com/p-oi35314767-tanbuzhoujia,,,,,--,,,具体收费情况以现场公示为主,,3
漕源顶Caoyuanding Village,http://travel.qunar.com/p-oi35311846-caoyuanding,,,,,--,,,具体收费情况以现场公示为主,,3
岗上周家Gangshang Zhoujia Village,http://travel.qunar.com/p-oi35311506-gangshangzhoujia,,,,,--,,,具体收费情况以现场公示为主,,3
山前周家,http://travel.qunar.com/p-oi35310309-shanqianzhoujia,,,,,,,,,,3
鸭塘许家,http://travel.qunar.com/p-oi35308773-yatangxujia,,,,,--,,,具体收费情况以现场公示为主,,3
周家山岗Zhoujia Hill,http://travel.qunar.com/p-oi35308764-zhoujiashangang,,,,,--,,,具体收费情况以现场公示为主,,3
旁源周家,http://travel.qunar.com/p-oi35307540-pangyuanzhoujia,,,,,--,,,具体收费情况以现场公示为主,,3
塔桥园艺场二大队,http://travel.qunar.com/p-oi35306117-taqiaoyuanyichangerda,,,,,--,,,具体收费情况以现场公示为主,,3
贵溪市塔桥园艺场,http://travel.qunar.com/p-oi35306002-guixishitaqiaoyuanyichang,,,,,--,,,具体收费情况以现场公示为主,,3
八脚岭,http://travel.qunar.com/p-oi35305490-bajiaoling,,,,,--,,,具体收费情况以现场公示为主,,3
丰田李家Fengtianlijia Village,http://travel.qunar.com/p-oi35277751-fengtianlijia,,,,,--,,,具体收费情况以现场公示为主,,4
贵溪市博物馆Guixishi Museum,http://travel.qunar.com/p-oi34270915-guixishibowuguan,"

地址:
鹰潭市贵溪市雄石街道雄石路38号江西贵溪市文化馆

",,全年 周二-周日 9:00-17:00,,0.0,,,免费,,4
余江县血防纪念馆Yujiangxian Xuefang Memorial Hall,http://travel.qunar.com/p-oi34270788-yujiangxianxuefangjinian,"

地址:
余江区果喜大道28号邮编：335200

",,全年 周二-周日 9:00-17:00,,0.0,,,免费,,4
余江县眼镜文化博物馆Yujiangxian Yanjing Culture Museum,http://travel.qunar.com/p-oi34270018-yujiangxianyanjingwen,"

地址:
鹰潭市鹰西大道路中段鹰潭国际眼镜城4#楼

",,全年 全天开放,,--,,,免费,,4
古越水街Guyueshui Street,http://travel.qunar.com/p-oi32749272-guyueshuijie,,,,,,,,,,4
鹰潭眼镜市场精品街YingTan YanJing ShiChang JingPin Jie,http://travel.qunar.com/p-oi24437488-yingtanyanjingshichang,,眼镜市场精品街位于鹰潭市，这里有各式各样的眼镜，流行的、复古的、时尚的、便宜的等等，应有尽有。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/dccbe09a61c848e3176eb3a8089c7341.jpg_480x360x95_56ffbd77.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,4
鹰潭旅游购物街YingTan LvYou GouWu Jie,http://travel.qunar.com/p-oi24437484-yingtanlu:yougouwujie,,,,https://flight-feed.qunarzz.com/as3/376/image/poi_vishnu/a6498478-4a77-483b-98cd-5ab943bb6ab4.jpg,--,,,具体收费情况以现场公示为主,,4
鹰潭古玩城YingTan GuWanCheng,http://travel.qunar.com/p-oi24437482-yingtanguwancheng,,,,https://flight-feed.qunarzz.com/as3/379/image/poi_vishnu/10b56d45-85a2-40e9-9097-25b512b3fc05.jpg,5.0,,,具体收费情况以现场公示为主,,4
泸溪河Luxi River,http://travel.qunar.com/p-oi23343599-luxihe,,,,,,,,,,4
金溪县何源太山景区Jinxixian Heyuan Tai Mountain Sceneic Area,http://travel.qunar.com/p-oi23343564-jinxixianheyuantaishan,,该景区风景优美，有东港龙潭、崖山月、东峰寺、马尾水瀑布等景点，森林茂盛，空气清新，是人们户外运动、旅游休闲的好去处。,,,0.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,4
洪五湖,http://travel.qunar.com/p-oi23343202-hongwuhu,,,,,--,,,具体收费情况以现场公示为主,,5
百岁洞府,http://travel.qunar.com/p-oi23343199-baisuidongfu,,,,,--,,,,,5
仙象神鼻Fairy Elephant Trunch,http://travel.qunar.com/p-oi23343196-xianxiangshenbi,,,,,--,,,,,5
仙丹盒Elixir Box Peak,http://travel.qunar.com/p-oi23343193-xiandanhe,,,,,--,,,具体收费情况以现场公示为主,,5
龙虎山仙宠乐园Longhushan Xianchong Amusement Park,http://travel.qunar.com/p-oi22923402-longhushanxianchongle,"

地址:
鹰潭市贵溪市龙虎山景区内

",龙虎山仙宠乐园是龙虎山景区打造的全新旅游项目，有丛林穿越、生态餐厅、萌宠互动、竹林休闲四大区域，真实营造出曲径通幽的丛林体验感。目前已入住了萌兔子、小猴子、小狗、松鼠、孔雀、斑鸠等100多种萌宠及200多只飞禽，现场还有小丑嘉年华及萌宠互动演出等精彩节目。,8:30-17:30,,4.1,建议游览时间：2小时 - 3小时,,50元,,5
灵溪小镇生态乐园Lingxixiaozhen Ecology Amusement Park,http://travel.qunar.com/p-oi20978136-lingxixiaozhenshengtai,"

地址:
鹰潭市余江县杨溪乡墩上水库东南侧


电话:
15170110713,15180400280

",“灵溪小镇生态乐园”位于鹰潭市余江县320国道边，园区内有山有水、有花有果，有星级餐厅、有民宿雅舍，有多项户外娱乐项目、有专业团建队伍，并于2017年被评为江西省4星级乡村旅游点、3A级景区、江西省5星农家乐、江西省休闲农业示范点。是休闲度假、户外活动、农业体验、生态观光的休闲去处。,8:30-18:00，具体开放时间详见景区公示。,,3.7,建议游览时间：12小时 - 3天,,"{'鹰潭灵溪小镇门票成人票\n\n': ['¥25起'], '灵溪小镇生态乐园门票+9项目套票成人票\n\n': ['¥130起']}",,5
龙虎山高空栈道Longhu Mountain Skywalk,http://travel.qunar.com/p-oi20973847-longhushangaokongzhan,,,,,,,,,,5
仙水岩崖墓群Xianshuiyan Cliff Tombs,http://travel.qunar.com/p-oi20959041-xianshuiyanyamuqun,,,,,,,,,,5
上饶悬棺Shangrao Cliff Coffin,http://travel.qunar.com/p-oi20943525-shangraoxuanguan,,,,,,,,,,5
留侯家庙Liuhou Ancestral Temple,http://travel.qunar.com/p-oi20940496-liuhoujiamiao,,,,,4.7,建议游览时间：2小时,,,,5
舒家寨Shujia Village,http://travel.qunar.com/p-oi20934390-shujiazhai,"

地址:
江西省余江县象鼻山上

",,全年 8:00-16:00,,--,建议游览时间：1小时 - 2小时,,,,6
贵奚站站前广场Guixizhan Zhanqian Square,http://travel.qunar.com/p-oi19978728-guixizhanzhanqianguang,,,,,--,,,具体收费情况以现场公示为主,,6
法箓局,http://travel.qunar.com/p-oi19977319-faluju,,,,,--,,,具体收费情况以现场公示为主,,6
象鼻山-观光车站候车亭,http://travel.qunar.com/p-oi19976009-xiangbishan_guanguang,,,,,,,,,,6
金梦园,http://travel.qunar.com/p-oi19972630-jinmengyuan,,,,,--,,,具体收费情况以现场公示为主,,6
冬泳广场Dongyong Square,http://travel.qunar.com/p-oi19972479-dongyongguangchang,,,,,--,,,具体收费情况以现场公示为主,,6
贵溪市广觉寺Guixishi Guangjue Temple,http://travel.qunar.com/p-oi19971303-guixishiguangjuesi,,,,,5.0,,,具体收费情况以现场公示为主,,6
黄蜡石博物馆Huanglashi Museum,http://travel.qunar.com/p-oi19971293-huanglashibowuguan,,,,,--,,,具体收费情况以现场公示为主,,6
熊大溜溜,http://travel.qunar.com/p-oi19971292-xiongdaliuliu,,,,,--,,,,,6
翠湖公园Cuihu Park,http://travel.qunar.com/p-oi19971288-cuihugongyuan,,,,,--,,,,,6
鹰潭市基督复临安息日会福音堂,http://travel.qunar.com/p-oi19971286-yingtanshijidufulinan,,,,,--,,,具体收费情况以现场公示为主,,7
鹰潭风情园,http://travel.qunar.com/p-oi19971284-yingtanfengqingyuan,,,,,--,,,具体收费情况以现场公示为主,,7
信江国家湿地公园Xinjiang National Wetland Park,http://travel.qunar.com/p-oi19971283-xinjiangguojiashidigong,,,,,4.5,,,具体收费情况以现场公示为主,,7
鹰潭西湖湿地公园Yingtanxihu Wetland Park,http://travel.qunar.com/p-oi19971281-yingtanxihushidigongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/504288d250ccd8590023b8e9bee93ff9.jpg_480x360x95_5dd8cf25.jpg,2.8,,,具体收费情况以现场公示为主,,7
白鹭公园Bailu Park,http://travel.qunar.com/p-oi19971278-bailugongyuan,,,,,4.7,,,具体收费情况以现场公示为主,,7
"定江大王庙Dawang Temple, Dingjiang",http://travel.qunar.com/p-oi19971274-dingjiangdawangmiao,,,,,0.0,,,具体收费情况以现场公示为主,,7
浮石公园Fushi Park,http://travel.qunar.com/p-oi19971273-fushigongyuan,,,,,--,,,具体收费情况以现场公示为主,,7
紫竹庙,http://travel.qunar.com/p-oi19971266-zizhumiao,,,,,--,,,具体收费情况以现场公示为主,,7
鹰潭市西门基督教堂Christian Church,http://travel.qunar.com/p-oi19971263-yingtanshiximenjidujiao,,,,,--,,,具体收费情况以现场公示为主,,7
中国道教博物馆Zhongguodaojiao Museum,http://travel.qunar.com/p-oi19971260-zhongguodaojiaobowuguan,,,,,,,,,,7
地质馆Geological Museum,http://travel.qunar.com/p-oi19971256-dizhiguan,,,,,,,,,,8
上清国家森林公园Shangqing National Forest Park,http://travel.qunar.com/p-oi19971255-shangqingguojiasenlin,,,,,--,,,具体收费情况以现场公示为主,,8
龙虎山风景名胜区-山-凉亭,http://travel.qunar.com/p-oi19971251-longhushanfengjingming,,,,,,,,,,8
伏魔殿Fumo Palace,http://travel.qunar.com/p-oi19971250-fumodian,,,,,4.0,,,具体收费情况以现场公示为主,,8
龙虎山艺博馆Longhu Mountain Art Museum,http://travel.qunar.com/p-oi19971249-longhushanyiboguan,,,,,,,,,,8
留侯祖庙Liuhou Ancestral Temple,http://travel.qunar.com/p-oi19592441-liuhouzumiao,"

地址:
鹰潭市贵溪市府前街

",留侯祖庙:张道陵，原名张陵，自封或得道后改名，是张良后代。张良为留侯，故取其名。听讲解的道士一一道来，太极八卦，为什么门前有太极门墙（一般丁字或十字口，不可直接看到院内，忌讳），为什么此处有五行台，五行相生相克……,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1805/75/a356ce4dca49a137.jpg_480x360x95_e99ffea6.jpg,--,,,,,8
广志园林,http://travel.qunar.com/p-oi19528214-guangzhiyuanlin,,,,,--,,,,,8
刘太宗根雕艺术馆,http://travel.qunar.com/p-oi19513214-liutaizonggendiaoyishu,,,,,--,,,,,8
信江黄冻玉文化馆,http://travel.qunar.com/p-oi19512794-xinjianghuangdongyuwen,,,,,0.0,,,具体收费情况以现场公示为主,,8
龙虎山地质花卉公园,http://travel.qunar.com/p-oi19512711-longhushandizhihuahui,,,,,,,,,,8
彩虹糖育婴乐园,http://travel.qunar.com/p-oi19510092-caihongtangyuyingleyuan,,,,,--,,,,,9
青岛啤酒总经销,http://travel.qunar.com/p-oi19494562-qingdaopijiuzongjingxiao,,,,,--,,,,,9
尚艺画廊,http://travel.qunar.com/p-oi19483699-shangyihualang,,,,,--,,,,,9
帝国乐园,http://travel.qunar.com/p-oi19469643-diguoleyuan,,,,,--,,,,,9
月湖区图书馆,http://travel.qunar.com/p-oi19468731-yuehuqutushuguan,,,,,--,,,,,9
革命烈士纪念馆,http://travel.qunar.com/p-oi19468598-geminglieshijinianguan,,,,,--,,,,,9
小宝乐园,http://travel.qunar.com/p-oi19465710-xiaobaoleyuan,"

地址:
冶金大道(近冶炼厂西区)


电话:
18670109090

",,每天 09:00 - 21:30,,--,,,,,9
贵溪图书馆Guixi Library,http://travel.qunar.com/p-oi19465240-guixitushuguan,,,,,--,,,具体收费情况以现场公示为主,,9
文化馆办公自动化服务部,http://travel.qunar.com/p-oi19464766-wenhuaguanbangongzidong,,,,,--,,,,,9
正一观游览区Zhengyi Temple Tourist Area,http://travel.qunar.com/p-oi18717106-zhengyiguanyoulanqu,,,,,,,,,,9
鹰潭仙岩Yingtan Fairy Rock,http://travel.qunar.com/p-oi18716833-yingtanxianyan,,,,,,,,,,10
象鼻山游览区Elephant Trunk Hill Tourist Area,http://travel.qunar.com/p-oi18716560-xiangbishanyoulanqu,,,,,,,,,,10
