名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黄梅四祖寺Huangmei Sizu Temple,http://travel.qunar.com/p-oi707382-huangmeisizusi,"

地址:
黄冈市黄梅县大河镇四祖村


电话:
0713-3166309

",四祖寺，原名正觉寺，又名双峰寺，是佛教第四代祖师道信大师的道场，位于黄梅县城西北15公里的西山之中。寺庙创建于唐武德七年（公元624年），距今已有1380多年的历史，它不但在我国佛教发展史上占有重要地位，是有名的旅游胜地。西山又名破额山、破头山、有诗为证：“破额山前碧玉流、骚人遥驻木兰舟”。据史载，四祖禅寺唐宋时盛极一时，有殿堂楼阁八百多间，僧侣达千余人。整个古寺建筑殿堂楼阁盘垣交错，层层叠叠，古色古香，主体建筑有天王殿、大雄宝殿、地藏殿、祖师殿、观音殿、方丈室等。除寺庙建筑外，还有许多古迹景观，如一天门、二天门、花桥、碧玉流以及毗卢塔、鲁班亭、传法洞等三十余处景观。,全年 06:00-17:00,https://img1.qunarzz.com/piao/fusion/1906/2a/9431373a92a4c702.jpg_480x360x95_6510acc1.jpg,4.8,建议游览时间：1小时,,{'四祖寺手机导游(不含门票)服务成人票\n\n': ['¥7起']},,1
黄梅芦花庵,http://travel.qunar.com/p-oi38341089-huangmeiluhuaan,,,,,5.0,,,,,1
东山问梅村,http://travel.qunar.com/p-oi38011842-dongshanwenmeicun,"

地址:
湖北省黄冈市黄梅县五祖镇027乡道西


电话:
0713-3203520

",东山问梅村简介,全年 09:00-21:00,,4.7,建议游览时间：3天 - 6天,,,,1
天堂寨风景区Tiantangzhai (“Heaven Village”) Scenic Area,http://travel.qunar.com/p-oi707737-tiantangzhaifengjingqu,"

地址:
黄冈市罗田县天堂寨景区


电话:
0713-5826088


官网:
http://www.ttzly.com/

","罗田天堂寨风景区境内千米以上的高峰25座，主峰天堂寨海拔1729.13米，为大别山主峰之一，号称""中原第一峰""。因而景区内最神奇的景观便是山，天堂美景数主峰天堂寨为最。登上主峰，环视天下，则可见十万大山拥拜于下。北望中原，南眺荆楚。凌晨观日出似置身于九天之外，傍晚看日落如在仙宫信步。每当雨过天晴，早晨登主峰观云海更是气象万千，无比壮观。天堂寨自古以来便是兵家必争之地，历史上在这里发生了不少重要的战役，1947年刘邓大军挺进大别山，天堂寨就是重要的活动区域。",全年 08:00-16:30,https://img1.qunarzz.com/travel/d0/1609/65/2453e7ef64d8bfb5.jpg_480x360x95_8996ba51.jpg,4.3,建议游览时间：12小时 - 3天,,"{'天堂寨风景区门票+往返观光车票成人票\n\n': ['¥68起'], '天堂寨电子导览服务大小同价\n\n': ['¥15起'], '【酒店套餐】黄冈罗田天堂云海/吴楚雄风/晨璧山庄/藏龙大别山酒店+双人罗田天堂寨风景区门票+可选早餐\n\n': ['¥310起']}",,1
湖北三角山旅游度假区Hubei Mount Sanjiao Tourism and Resort Area,http://travel.qunar.com/p-oi704493-hubeisanjiaoshanlu:you,"

地址:
湖北省浠水县绿杨乡三角山棋盘石路4号


电话:
0713-4891298,0713-4890088


官网:
http://www.hbsjsly.com/

",浠水县三角山国家森林公园位于的大别山脉南麓，是浠水和蕲春两地的高峰，景区内风景优美、森林密布，是一个天然的氧吧。在公园内，既有革命遗址，也有历史古寨，更多的是纯粹、无污染的自然风光，在景区内放眼望去，满目是苍翠的树木，处处都是奇峰怪石，特别适合城市里的人们来这里休闲度假。此外三角山的人文资源也十分丰富，据当地传说，历史上有李白、杜甫、苏东坡、欧阳修、李时珍、吴承恩等历代名人都来到过这里。当地的紫云禅寺，也位于三角山下，紫云禅寺始建于唐代，如今香火...浠水县三角山国家森林公园位于的大别山脉南麓，是浠水和蕲春两地的高峰，景区内风景优美、森林密布，是一个天然的氧吧。在公园内，既有革命遗址，也有历史古寨，更多的是纯粹、无污染的自然风光，在景区内放眼望去，满目是苍翠的树木，处处都是奇峰怪石，特别适合城市里的人们来这里休闲度假。此外三角山的人文资源也十分丰富，据当地传说，历史上有李白、杜甫、苏东坡、欧阳修、李时珍、吴承恩等历代名人都来到过这里。当地的紫云禅寺，也位于三角山下，紫云禅寺始建于唐代，如今香火也是极旺盛。景区中度假酒店，如果你时间充裕，不妨在这里住上几天，感受下远离喧嚣的安逸。,8:00至17:00,https://img1.qunarzz.com/piao/fusion/1809/38/454021a24cc23402.jpg_480x360x95_fbe6d537.jpg,4.3,建议游览时间：3天 - 6天,,"{'湖北三角山旅游度假区门票成人票\n\n': ['¥48起'], '湖北三角山旅游度假区（含观光车）门票成人票\n\n': ['¥78起'], '湖北三角山旅游度假区（含观光车）门票优待票\n\n': ['¥40起']}",,1
东坡赤壁Dongpo Chibi,http://travel.qunar.com/p-oi708303-dongpochibi,"

地址:
黄冈市赤壁管理处（公园路11号）


电话:
0713-8366568,0713-8352861


官网:
http://www.hgchibi.com/index.html

",东坡赤壁位于长江之滨的古城黄州西北，因岩石赭赤而屹立如壁故称“赤壁”。素有“江山如画”之美誉，晋唐时就为游览胜地，古往今来有无数名人游览过赤壁。北宋元丰间大文学家苏轼因谪居黄州常游赤壁，并写有前后《赤壁赋》、《念奴娇赤壁怀古》等著名作品，更使赤壁名扬中外，清康熙末年（1662－1722）始更名为“东坡赤壁”。东坡赤壁的楼阁始建于西晋，距今约一千七百年，后多次重建，现有面积四百余亩，建筑物计有二堂：二赋堂、雪堂；三楼：栖霞楼、涵晖楼、挹爽楼；二阁：碑阁、留仙阁；一斋：慨然斋；一像：东坡塑像；一峰：剪刀峰；九亭：放龟亭、睡仙亭、坡仙亭、酹江亭、问鹤亭、快哉亭、揽胜亭、望江亭、羽化亭。这些古建筑依山就势，古朴典雅，具有浓郁的地方特色，不失为园林佳构。东坡赤壁碑刻闻名全国，有历代名人书画碑刻近700块，其中苏轼书画碑刻139块，居全国古今书画家个人碑刻之首。建国以来，各级政府对东坡赤壁非常重视。1956年定为省级重点文物保护单位，1987年定为省级风景名胜区，同年被评定为中国著名风景名胜区三百家之一。2006年被定为全国重点文物保护单位、AAAA景区。据考证，举世闻名的三国赤壁之战即在此发生。 ,全年 08:00-17:30,https://img1.qunarzz.com/travel/d3/1710/7d/f24e16965ce83cb5.jpg_480x360x95_0d5f1aba.jpg,4.2,建议游览时间：1小时 - 3小时,,"{'东坡赤壁门票成人票\n\n': ['¥35起'], '东坡赤壁门票儿童票\n\n': ['¥20起'], '东坡赤壁门票优待票\n\n': ['¥20起']}",,1
五祖寺The Wuzu Temple,http://travel.qunar.com/p-oi704218-wuzusi,"

地址:
黄冈市黄梅县059乡道旁


电话:
0713-3203673

",五祖寺位于湖北省黄梅县城北16公里的东山，又称东山寺，建于唐永徽五年（654年），是中国禅宗第五代祖师的道场，也是六祖慧能得法受衣钵之地，被御赐为“天下祖庭”。唐宣宗敕建五祖祖师寺院，并改赐寺额为“大中东山寺”。元文宗赐法号为“妙圆普觉禅师”，并改赐寺额为“东山五祖寺”，简称五祖寺，此名一直沿用至今。五祖寺风景秀丽，名胜古迹甚多。千百年来，五祖寺历经沧桑，毁于清咸丰四年（公元1854年），仅存十几栋庙宇楼阁和一些名胜古迹。寺庙和名胜古迹得到妥善保护，1985年，五祖寺被批准为汉族地区重要的寺院。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1803/d3/639508fb913b2a37.jpg_480x360x95_b9f87983.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
桐枧冲瀑布群风景区Tongjianchong Waterfalls Scenic Area,http://travel.qunar.com/p-oi7469165-tongjianchongpubuqunfeng,"

地址:
黄冈市麻城市黄土岗镇桐枧冲瀑布风景区

",桐枧冲瀑布群风景区—— 位于黄土岗镇境内，沿黄护公路向北行十里处。桐枧冲瀑布，又称“龙潭峡谷”。相传谷中的七口潭为龙鱼栖息之所，故名“龙潭峡”。风景区是以峡谷观光、瀑布游览为主题的自然风景区，共19条瀑布，多以“龙”命名。桐枧冲瀑布位于黄土岗镇境内，沿黄护公路向北行十里处。桐枧冲瀑布，又称“龙潭峡谷”。相传谷中的七口潭为龙鱼栖息之所，故名“龙潭峡”。龙潭河至寨河长约7华里的一段峡谷共有七口潭，潭间间距100—700米，落差12—50米，其名曰：青鱼潭、磬口潭、秤杆子潭、牛眼睛潭、芭茅潭、官财潭、响龙潭。景区内溯溪而上，可谓天下胜景，悬崖峭壁如刀斧砍一般自然生成。飞瀑流泉，气势雄伟；秀丽清雅；松奇石怪，杂林丛生，深洞处处可见，峰奇壁异，神秘莫测。,全年 9:00-16:00,https://img1.qunarzz.com/travel/poi/1408/26/1e32a145b531557effffffffc8d65eac.jpg_480x360x95_a35ae25f.jpg,4.0,建议游览时间：12小时,,具体收费情况以现场公示为主,,1
大别山国家森林公园,http://travel.qunar.com/p-oi704932-dabieshanguojiasenlin,,,,,,,,,,1
龟峰山Turtle Peak Mountain,http://travel.qunar.com/p-oi713390-guifengshan,"

地址:
黄冈市麻城市龟峰镇龟峰山风景区


电话:
0713-2880001,0713-2880002,0713-2886000


官网:
http://www.mcgfsly.com/

",麻城龟峰山位于麻城县东30公里处，主峰系马桩，海拔1224米。龟峰山由九座山峰组成，形如昂首翘尾的巨龟。山上处处是盘松虬柏、怪石险径，既绮丽又雄伟，颇有奇趣，为鄂东知名风景区。风景区内主要景点还有能仁寺、化主庙、娘娘坟、洗脚池、料井、冲担石、险八脚、迎客松等30多处。龟峰山拥有丰富的人文资源，有唐太宗李世民登临龟尾御笔题定的“能仁寺”，一代文毫曹操亲临龟头题写的对联（现存化主庙门楹）。龟峰山内物产丰富，产有获部优产品称号的“龟山云雾茶”，远销各国的白厂丝和真丝绸，还有849种野生中药材，产有地藕、苦菜、竹笋、蕨菜、白花菜等到野生绿色食品，都是很好的旅游纪念品。龟峰山是一处旅游胜地，春季满山杜鹃似火，兰草花吐幽，是春游的好地方；夏季白天苍松翠竹蔽日，夜晚凉气袭人，是避暑的好去处；秋季山上野果遍地，山下一派丰收景象，正好参与农家乐；冬季满山银装素裹，松涛之声不绝入耳，可尽心探古访幽。,全年 00:00-23:59,https://img1.qunarzz.com/travel/poi/201403/14/0fe782ef22fdd8d3ddb12cfb.jpg_480x360x95_f8353bda.jpg,4.0,建议游览时间：3天,,"{'龟峰山+景交车票成人票\n\n': ['¥109起'], '龟峰山电子导览服务大小同价\n\n': ['¥6起'], '【酒店套餐】麻城云梦如故民宿+早餐+龟峰山门票\n\n': ['¥418起']}",,1
