名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黄山风景区Mount Huangshan,http://travel.qunar.com/p-oi715802-huangshanfengjingqu,"

地址:
黄山市黄山区汤口镇汤泉路1号


电话:
0559-2590999


官网:
http://hsgwh.huangshan.gov.cn/

", 黄山风景区坐落于黄山市黄山区汤口镇境内。黄山自古以来就是中国数一数二的名山，奇松、怪石、云海、温泉被称为黄山的“四绝”。除此之外，雾凇、雪景、日出也是游人不会错过的景观，古人有“五岳归来不看山，黄山归来不看岳”的说法。景区内分为南门、西门和北门，绝大多数游客都会从南门出入，南门又有前山后山两个出入口，都靠近山脚下的汤口镇。镇上也成了游玩黄山的中转站，很多游客都会提前赶到这里住宿一晚。汤口镇上到景区门口需乘黄山新国线班车，在前山山门（慈光阁）、后山山门（云谷寺）、黄山温泉都会停靠。景区游览主要分为前山、后山两条上山路线，都通向主峰之一光明顶，在光明顶的另一侧，还有一条环线-西海大峡谷。前山前山指慈光阁开始到山顶玉屏楼的登山路线（可乘玉屏索道直达），还有山顶的莲花峰、天都峰区域。前山风景大气，很适合乘索道俯瞰。高峰莲花峰和另一主峰天都峰都在这里（两峰交替开放），还迎客松、鲫鱼背、百步云梯、一线天、天海等经典景点。后山后山是指云谷寺到白鹅岭的登山路线（可乘云谷索道直达），以及白鹅岭后面的始信峰、狮子峰、排云亭等山顶区域，后山风景多是精巧的山景，适合步行一路观赏。飞来石、猴子观海都在这里。西海大峡谷西海大峡谷是近些年新开放的景区，谷内幽深，风景非常壮丽，被称为黄山真正的精华风光集合地。西海大峡谷可以从后山山顶区域的排云亭进入，谷内环绕一圈后回到主峰天海处。从排云亭步行下到谷底大约2小时左右，然后可乘坐缆车到天海。路线推荐黄山常规的玩法是两日游，路线分为前山上后山下（前山-西海大峡谷-后山）和后山上前山下（后山-西海大峡谷-前山）。前山上后山下适合乘索道上山，步行下山，即轻松又不错过后半段精致的美景，不过因为西海大峡谷的精华路线是从排云亭到天海，所以要走一段回头路。只有一天时间也可以玩黄山，不过行程紧张，建议后山上前山下，上下山都乘索道，而且要选择不爬前山主峰（莲花峰/天都峰）或者不去西海大峡谷。住宿选择山顶有多家住宿地点，基本集中于光明顶天海、排云亭、白鹅岭、北海等几个区域。光明顶天海是看日出的好地方，玩西海大峡谷时也适合寄放行李。白鹅岭是后山云谷索道的上站，一般下午从后山进景区的，住在这里比较合适。,3/2-10/31 周一-周五 06:20-17:30;3/2-10/31 周六-周日 06:00-17:30;11/1-3/1 07:20-16:30;全年 06:00-17:30;全年 05:30-18:00,https://img1.qunarzz.com/travel/d9/1802/61/59f5949203f7a0b5.jpg_480x360x95_b2838752.jpg,4.7,建议游览时间：3天 - 9天,春季：春季万物复苏，来黄山看飞龙迎春、春末映山红。夏季：夏季生机盎然，来黄山看翠色欲滴，花雨纷飞。秋季：秋季暖意融融，来黄山看初秋暖阳，深秋黄叶。冬季：冬季寒意逼人，来黄山看银装素裹，冰雪世界。黄山的冬天（10月下旬-翌年2月），被游客称为是黄山最美的季节。不论是白雪覆盖，还是美丽雾凇，都使此时的黄山美得妖娆美得苍劲，不过冬季时天都峰、白云溪会封山养护，这对喜欢摄影和攀爬的游客会造成一些不便；同时也提醒游客们尽量避开黄金假期（黄山上人山人海，不便于爬山也不便于观景）及雨季旅游（约每年6月中旬至7月初尾梅雨季节），届时旅行体验会受影响打折扣。黄山“五绝”之一的云海却是在冬春两季出现的概率最高，夏秋两季出现的概率比较少。黄山一年四季景色各异，夏秋尤佳，此时的黄山是旅游旺季，温度最为适宜，山体郁郁葱葱。冬季虽然也美，但由于山顶温度过低且山路结冰湿滑容易造成危险，故并不推荐冬季去攀爬黄山。,"{'黄山风景区南大门（玉屏索道方向）门票成人票\n\n': ['¥190起'], '黄山风景区南大门（玉屏索道方向）门票优待票\n\n': ['¥95起'], '黄山风景区南大门 (云谷索道方向)门票成人票\n\n': ['¥190起']}","1、最好能提前预定好当地的客栈，尤其是山顶的宾馆。 
 2、上山尽量轻装，少带行李，以免过多消耗体力，影响登山。不过一定要带一件厚的衣服，如果看日出的话，不管几月，山顶风都很大；最好带一根拐杖，下山的时候很靠谱；如果能带上护膝最好，否则下山膝盖会很不舒服。 
 3、尽量不在冬季去，否则很多山都封了，不过冬天可以看到雾凇也是另外一种享受。 
 4、雷雨时不要攀登高峰，特别不要攀登天都、莲花二峰，不要用手扶铁链，也不宜在树下避雨，手机关机，以防雷击。 
 5、山高路陡，游山时以缓步为宜，不可过速。身略前俯，可走“Z”形。这样既省力，又轻松。为安全考虑，一定要做到“走路不看景，看景不走路”。边走边看比较危险。 
 6、在高峻危险的山峰上照像时，摄影者选好角度后就不要移动，特别注意不要后退，以防不测。 
 7、黄山建筑物、古迹很多，不要在任何建筑物、古迹、岩石、竹木上题字刻画。 
 8、为防止火灾，黄山风景区沿途均实行定点抽烟。 
 9、为了保护黄山风景区的清洁卫生，不可随地乱扔垃圾、废物，沿途每隔几米都会有树状型的垃圾池。 
 10、冬季的黄山山顶多为湿滑结冰路段，如果穿的并不是专业登山鞋，建议在进入景区大门买票之前购买当地小贩兜售的冰爪套在鞋底防滑，一双冰爪的价格在10元左右，如登山后再购买，一双的价格为50元左右。 
 11、旅游者（含购买门票的）不遵守黄山风景区游览规定，擅自进入未开发、未开放区域陷入困顿或危险状态，管委会完成救援后，由旅游活动组织者及被救助人承担相应救援费用。 

  最佳观景处： 
 ①观日出最佳地点：清凉台、曙光亭、狮子峰、始信峰、丹霞峰、光明顶、鳌鱼峰、玉屏楼。 
 ②看晚霞最佳地点：排云亭、丹霞峰、飞来石、光明顶、狮子峰。 
 ③看云海最佳地点：玉屏楼观前海、清凉台观后海、白鹅岭观东海、排云亭看西海、光明顶看天海。 
 ④看雪景最佳地点：北海、西海、天海、玉屏楼、松谷、云谷和温泉。 

  地理位置黄山位于安徽省南部黄山市黄山区境内（景区由市直辖），总面积约1200平方千米，其中，黄山风景区面积160.6平方千米，东起黄狮，西至小岭脚，北始二龙桥，南达汤口镇，分为温泉、云谷、玉屏、北海、松谷、钓桥、浮溪、洋湖、福固九个管理区。缓冲区面积490.9平方千米，以与景区相邻的五镇一场（黄山区汤口镇、谭家桥镇、三口镇、耿城镇、焦村镇和洋湖林场）的行政边界为界。气候特点黄山处于亚热带季风气候区，地处中亚热带北缘、常绿阔叶林、红壤黄壤地带。由于山高谷深，气候呈垂直变化。同时由于北坡和南坡受阳光的辐射差大，局部地形对其气候起主导作用，形成云雾多、湿度大、降水多的气候特点，接近于海洋性气候，夏无酷暑，冬少严寒，四季平均温度差仅20摄氏度左右。夏季最高气温27摄氏度，冬季最低气温－22摄氏度，年均气温7.8摄氏度，夏季平均温度为25摄氏度，冬季平均温度为0摄氏度以上。年平均降雨日数183天，多集中于4至6月，山上全年降水量为2395毫米。西南风、西北风频率较大，年平均降雪日数49天。[1] 地形地貌黄山经历了漫长的造山运动和地壳抬升，以及冰川和自然风化作用，才形成其特有的峰林结构。黄山群峰林立，有七十二峰素有“三十六大峰，三十六小峰”之称，主峰莲花峰海拔高达1864.8米。黄山山体主要由燕山期 花岗岩构成，垂直节理发育，侵蚀切割强烈，断裂和裂隙纵横交错，长期受水溶蚀，形成瑰丽多姿的花岗岩洞穴与孔道，使之重岭峡谷，关口处处，全山有岭30处、岩22处、洞7处、关2处。黄山的第四纪冰川遗迹主要分布在前山的东南部，典型的冰川地貌有：苦竹溪、逍遥溪为冰川移动创蚀而成的“U”形谷；眉毛峰、鲫鱼背等处是两条“V”形谷和刨蚀蚀残留的刃脊；天都峰顶是三面冰斗刨蚀遗留下来的角峰；百丈泉、人字瀑为冰川谷和冰川支谷相汇成的冰川悬谷；逍遥溪到汤口、乌泥关、黄狮垱等河床阶地中，分布着冰川搬运堆积的冰碛石；传为轩辕黄帝炼丹用的“丹井”、“药臼”，也是由冰川作用形成的冰臼。",1
宏村景区Hongcun Village,http://travel.qunar.com/p-oi711297-hongcunjingqu,"

地址:
黄山市黟县宏村镇宏村景区


电话:
0559-5541158 （08：00—17.00）


官网:
http://www.hongcun.com.cn/

",宏村景区是徽派古村中的代表，有“中国画里乡村”的美誉。来宏村一是看水利系统带来的水景，南湖、月沼是精华所在；二是看建筑上的徽派三雕，砖雕、石雕、木雕，像剪纸一样精细，人文景观与自然景观很好地融为一体。宏村位于黟县东北11公里，黄山市西北68公里处，始建于南宋绍兴年间（公元1131年-1162年），从明永乐年间（公元1403年-1424年）开始，逐步发展成了神奇的“牛形村”的样子。村口的古树是“牛角”，村中房屋鳞次栉比的明清徽派建筑是“牛身”，村西溪水上四座桥是“牛腿”，月沼是“牛胃”，南湖是“牛肚”，流经家家户户的水圳（导引清泉的水沟）则是“牛肠”。村中道路四通八达，入口有多个，主要的有三个，一个是村西当地人口中的“村口”，栽有红杨和银杏两颗古树；一个是南湖西边际泗桥通向的入口；还有一个是南湖东边，有停车场的入口，这是宏村较大的入口，也是正门所在，一般游客从此门进入，由南到北游览古村。先欣赏位于宏村南端的精华景点之一南湖，是开凿于明万历丁未年（公元1607年）的弓形人工湖，水面开阔，穿湖而过的画桥为电影《卧虎藏龙》里李慕白牵马走过的地方。湖北岸有南湖书院，清朝时把原来湖边的六所私塾合并为一个书院，所以书院显得非常宽敞。看完南湖向北走，可顺道游览敬德堂、汪大燮故居（振绮堂）。接着来到宏村中心位置的精华景点——开凿于明永乐年间的月沼，周围的徽派建筑倒映其中，是很好的拍照地。遗憾的是，月沼边往往聚满游客，想要拍张没人的照片比较困难。月沼北岸正中有祠堂乐叙堂，宏村的居民多姓汪，所以又叫汪氏宗祠。村中其他的屋子都是清代的，只有乐叙堂是明代的，比起清代建筑的繁复，明代建筑显得简约。月沼北侧西首还有建于清代的敬修堂。继续向北走，参观宏村曾经的富豪建筑，清末大盐商汪定贵的住宅承志堂。承志堂里书房、厨房、马厩、保镖房、男女佣人房俱全，甚至还有搓麻将牌的“排山阁”。屋内自带池塘、水井，用水不出屋。而很值得一看的是精美的徽派三雕，有些木雕上还涂着金粉，可谓富丽堂皇。其他你还可以看下村中的德义堂、树人堂、桃源居等古建筑。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1810/18/a372eddc2eef5cb5.jpg_480x360x95_7e84271e.jpg,4.5,建议游览时间：2小时 - 5小时,春、秋两季最佳，特别是3月至4月，桃花、油菜花遍野盛放，吸引了众多摄影爱好者；10月至11月，秋色正浓，菊花金黄，秋叶火红。此外，宏村一天之内，清晨和傍晚的美景也实属上乘。春秋两季较为适宜。春光灿烂，桃花、油菜花依次盛放，宏村的水乡风貌开始散发出魅力，吸引各地游客前往这个皖南乡村观光、写生、摄影。秋季亮点依然是各种时令花卉，特别是10-11月，菊花满地，秋叶火红，前往离宏村2公里的塔川，能看到不逊色于香山的景致。,"{'宏村门票成人票\n\n': ['¥94起'], '宏村门票儿童票\n\n': ['¥52起'], '宏村门票老人票\n\n': ['¥52起']}",1、就像全国各地的许多方言一样，黟县话也有着独特、原始的魅力，但大多数游客感觉不太能听得懂，有需要的话可以咨询导游。2、最好备一定数量的现金，因为宏村当地的银行、取款机较少。3、宏村消费不高，来此游玩以住宿及门票花费为主，一天游200元-300元即可满足。,1
新安江山水画廊Xin'an River Landscape Gallery,http://travel.qunar.com/p-oi706364-xinanjiangshanshuihua,"

地址:
歙县深渡镇深渡码头


电话:
0559-6812333

",新安江山水画廊，国家AAAA级旅游景区，位于中国历史文化名城歙县境内，全长约百里，是黄山—徽州古城歙县—千岛湖黄金旅游线上的一颗璀璨明珠。新安江山水画廊两岸生态环境很好，呈现高山林、中山茶、低山果、水中鱼的立体生态格局，与掩映其间的粉墙黛瓦的古村落、古民居交相辉映，是画里青山，水中乡村，构成一幅美妙的山水国画   沿江点缀着“千年古樟”、“红妆馆”、“三潭” 枇杷、“三口”蜜桔、将军埠、绵潭乡村小剧场、新安渔风－九姓捕鱼、九砂古村落、新扬村古民居、古老作坊、凤凰岛及农家乐，让游客体验其中，流连忘返。   新安江，四季如画，风光秀美。曾有人说他比漓江还美，就连诗仙李白也曾赋诗“清溪清我心，水色异诸水。借问新安江，见底何如此”赞美之。,7:00-17:00；新安江山水画廊景区游船发班时间：上午8:30，下午12:30。,https://img1.qunarzz.com/travel/d3/1706/8f/ff892a991d04bb5.jpg_480x360x95_8a3c116d.jpg,4.4,建议游览时间：3天 - 6天,3-8月,"{'新安江山水画廊门票成人票\n\n': ['¥138起'], '新安江山水画廊(含新安渔风+九姓捕鱼+游船)门票成人票\n\n': ['¥138起'], '新安江山水画廊+徽州古城一日游（精品团一价全含门票导游游船等，纯玩无购物）\n\n': ['¥90起']}",,1
西溪南古村落Xixinan Ancient Village,http://travel.qunar.com/p-oi25386379-xixinangucunluo,"

地址:
黄山市徽州区松明山公路


电话:
0559-2772020

",西溪南古村落位于黄山市徽州区西部，兴建于唐，兴盛于明清，是徽商历史的重要组成部份。村落保留相对原生态的模样，有老屋阁、绿绕亭以及明清时期的古建筑100多幢，其中还有千年银杏树、百年桂花树、罗汉树等，非常具有观赏价值。西溪南古村落村口有一片湿地和枫杨林，一条小溪环绕古村缓缓流淌，在此可以划玻璃船游秘境。坐在船上，绿树成荫，溪泉环绕，看周围徽派建筑及山水画廊，给人以无限的遐想。,全年 全天开放,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/1d61bd1f-87c1-41b9-81be-1cd7cfb41fb1.jpg,4.4,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1
光明顶Bright Summit,http://travel.qunar.com/p-oi722928-guangmingding,"

地址:
黄山市黄山区黄山风景区内


电话:
0559-5561111


官网:
http://hsgwh.huangshan.gov.cn/

",光明顶是黄山的较高峰，海拔1860米，因高旷开阔，日光照射长而得名。登上光明顶观景特别棒，这里不仅是俯看四周壮丽群峰的好地点之一，还是看日出、日落、云海的好地方。在光明顶可观东海奇景、西海群峰，天都、莲花、玉屏、鳌鱼诸峰尽收眼底。所谓黄山三十六峰，光明顶并不在其中，是因为古人将光明顶视为群峰之冠，故列位于三十六峰名之上。明代普门和尚曾在顶上创建大悲院，现在其遗址上建有华东地区海拔较高的气象站——黄山气象站。,3月2日-10月31日，周一至周五6:20-17:30；周六、周日及小长假6:00-17:30。11月1日-3月1日（含周六，周日及小长假）7:20-16:30。,https://img1.qunarzz.com/travel/d7/1603/e9/1fe8445067c45ff7.jpg_480x360x95_475ab4de.jpg,4.7,建议游览时间：1小时,,"{'【深度游 精选16人小团】黄山风景区纯玩2日游 宿山顶观日出 导游陪同上山 看云海日出\n\n': ['¥798起'], '【尊享团】宏村+黄山2日游=黄山北站接送+登山顶+导游陪同\n\n': ['¥598起'], '【16人精品小团】黄山+宏村+西递2日游 3大网红景点+赠黄山景区交通+纯玩无购物\n\n': ['¥799起']}",1. 如果要在光明顶看日出，建议住在光明顶山庄、白云宾馆，前一天先看好第二天的日出时间，在宾馆预订好叫早服务。2.光明顶前的石台，是摄影的佳地，但石头光滑，一定要注意安全。,1
西海大峡谷Grand Canyon of West Sea,http://travel.qunar.com/p-oi9198853-xihaidaxiagu,"

地址:
黄山市黄山区汤口镇汤川路黄山风景区内


电话:
0559-5561111

",西海大峡谷又被称为白云谷、梦幻景区，是黄山风景区新开发的一处景区，团队游客较少，适合喜欢徒步的游客前往探幽。谷内奇石嶙峋、山洞幽邃，步道多贴着绝壁建造，神秘和奇险是此谷风景的突出特点。西海大峡谷是由近旁的石柱峰、石床峰、右前方的薄刀峰、飞来石，对面的排云亭，丹霞峰、松林峰和左前方的九龙峰、云外峰等奇峰怪石所围成的空间，整个地理位置呈一个“U”字形，有两个进出口，分别是排云亭北入口和天海南入口，两边都可以进出，无论你从哪边走都是先下坡到谷底，然后又上坡出来。当然游玩的路线也可以根据你的住宿地点来决定，住酒店一般就是选择排云亭或者是天海。如果住排云亭附近，那么可以选择丹霞峰、排云亭观看日出和日落。如果是住在天海则可以选择在光明顶或鳌鱼峰观看日落和日出。当然这几个地方也是观看云海、晚霞和奇峰幽谷的好去处，具体欣赏的时间可根据你的行程自由安排。一般游客经常走的经典路线都是从后山上，可以乘坐太平索道到丹霞站，如果之前就是住在排云亭附近的，一早可以去丹霞峰欣赏一下日出，远观一下《红楼梦》中出现过的飞来石，再由排云亭这个北入口进入大峡谷。不过进入大峡谷前一定要检查装备和食品情况，因为在接下来的过程中需要补充一些食物和水，如果你的食物和水不够的话可以在排云亭补充，排云亭有一个小卖部，可以买到一些小吃。进入西海大峡谷约行至底谷有一个服务站，大家也可以在此休息和补充一些水和食物。进入大峡谷后经过一环、二环进入到谷底，大峡谷内都有指示牌，可以按照上面的路线走。从谷底到达天海南入口的这段路较长一些，路程占整个大峡谷的五分之三，如果徒步的话会经过大峡谷服务站，然后再到步仙桥，这里就是天海南入口，当然现在已经有从谷底直达天海的观光缆车了，很是方便。如果当天还安排其他景点的话建议搭乘缆车，即可节约时间又可节省体力。关于住宿，天海这里有白云宾馆和天海山庄这两个酒店，可以选择入住。傍晚时分可以顺便去光明顶看日落。如果是住排云亭附近的，那么则可以从天海南入口进入，按照上面的路线倒着走回排云亭附近即可，当晚可以在排云亭看日落，住宿的话可以选择西海饭店或排云楼宾馆。此外，酒店内都有餐厅，可以选择在里面用餐，也可以选择从山下购买一些八宝粥、方便面等充饥。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d4/1606/90/ce61ba8a26ea5c9a.jpg_480x360x95_51552462.jpg,4.7,建议游览时间：3小时 - 5小时,,"{'黄山风景区西海大峡谷缆车票成人票\n\n': ['¥100起'], '黄山风景区西海大峡谷缆车票儿童票\n\n': ['¥50起'], '西海大峡谷电子导览服务大小同价\n\n': ['¥6起']}",,1
阳产土楼Yangchan earthen building,http://travel.qunar.com/p-oi7588838-yangchantulou,"

地址:
安徽省黄山歙县阳产村


电话:
0559-2751208


官网:
http://www.hsyctl.com/

",阳产土楼位于皖南山区的深渡镇。阳产，位于皖南山区的群山之中，是一个依山而筑的小山寨。这里由于地势高，交通不便，数百年来，山民就地取材，采周边青石铺路架桥，取红壤木材筑巢而居，日出而作，日入而息，渴饮山泉，饿食五谷，，多种农作物生长，子孙延续。流年之中，形成了鳞次栉比、错落有致、质朴壮观的土楼群。阳产土楼保护完好对当前研究我国古老建筑颇有深厚的历史文化意义。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1709/df/243fd56ba6f605b5.jpg_480x360x95_c2ce33ad.jpg,4.4,建议游览时间：1小时 - 2小时,,"{'阳产土楼往返交通车票成人票\n\n': ['¥28起'], '阳产土楼电子导览票大小同价\n\n': ['¥7起']}",,1
雄村景区Xiong Village Scenic Spot,http://travel.qunar.com/p-oi7469500-xiongcunjingqu,"

地址:
黄山市歙县雄村106号


电话:
0559-6720000

",雄村位于歙县东南7公里处，是座典型的徽派村落，古名洪村，‎元末曹姓人迁至此，改名雄村，村中人注重读书，出过很多名臣，比较有名的当属清代曹文填、曹振镛父子尚书。比起宏村、西递这样的热门景点，雄村非常宁静，新安江在村前蜿蜒流过，每年4月，是游览的好时机，油菜花、桃花盛开，与白墙黑瓦的马头墙勾画出一副新安江畔的中国山水画。为表彰曹文埴而建造的四世一品坊建在村头的曹氏宗祠前，高大巍峨，沿路直走可以去雄村的核心景区，往新安江方向，可以去江上的孤岛“小南海”，岛上怪石峥嵘，树木参天。到了村中，可以看到清乾隆年间由曹景廷、曹景辰兄弟捐资建造的竹山书院，院内回廊上，清旷轩里大石碑上的“山中天”三字为颜真卿真迹。书院前新安江边的桃花坝上有不少桃树，是春天赏桃花的好地方。距书院百米有一座清乾隆年间的大中丞坊，为曹氏家族自明代曹祥到清代曹文埴在内的所有进士而建。慈光庵与竹山书院隔江相望，环境清幽。村中还有中美合作所遗迹，里面图文介绍了与美军合作训练特工、交换情报的历史。在新安江畔的码头，你还可以坐船游一小段新安江。,开放时间：夏令（3月1日-10月31日）8:00-17:00，冬令（11月1日-次年2月底）8:00-16:30，详情请以景区公示为准。,https://img1.qunarzz.com/travel/d2/1505/9a/867db085c7127c.jpg_480x360x95_8e5bda1c.jpg,3.7,建议游览时间：3小时,,"{'黄山雄村景区门票成人票\n\n': ['¥38起'], '黄山雄村景区门票优待票\n\n': ['¥20起'], '黄山雄村景区电子导览服务大小同价\n\n': ['¥6起']}",,1
曙光村Shuguang Village,http://travel.qunar.com/p-oi35808733-shuguangcun,"

地址:
黄山市黄山区

",曙光村位于安徽省黄山市，是一个三面环水、山峦叠翠的美丽乡村，进出乡村需要乘船，途中风景宜人。村子里有大片的茶园，清香四溢。村子里开设的有垂钓等游玩项目，是您休闲度假、亲近大自然的好地方。,全年 全天开放,,3.7,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
徽州古城Huizhou Ancient City,http://travel.qunar.com/p-oi9550770-huizhougucheng,,,,,,,,,,1
