名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
仙岛湖风景区Xiandao Lake Scenic Area,http://travel.qunar.com/p-oi707359-xiandaohufengjingqu,"

地址:
黄石市阳新县王英镇码头路


电话:
0714-7686566


官网:
http://www.xiandaohu.net/

",仙岛湖位于阳新县王英镇，幕阜山北麓，距阳新县城48公里，旅游区面积180平方公里，水域32平方公里，1002个岛屿似群星璀璨落玉盘，湖滨风景尤为优美。仙岛湖植被优良，物种群集，空气负离子浓度1010个/立方厘米，湖水能见度达5米，盛夏日均气温25度左右，冬日8度左右，且湖岸岩洞成群，洞内成溪。仙岛湖饱经沧桑巨变。唐代洛宾王归隐陵寝圣迹依存，明末嘉靖甲寅岁“飞来钟”保存完好，“灵通仙岛”石碑字迹分明。 仙岛湖人杰地灵、英模辈出。近代有苏维埃政府旧址，当代诞生了王贤田、王月娥等全国劳模。仙岛湖地处三峡、庐山和九宫山旅游热线中心，距武汉140公里，距黄石70公里，与106国道擦肩而过。旅游区建有休闲中心、避暑山庄、珍稀动物岛、野山户外运动基地、中央电视台《希望的天空》影视基地等，有天空之城、玻璃桥、恐龙岛等景点项目。还有游乐场、影院、书店、商场、医院等服务设施。,全年 08:30-18:30,https://img1.qunarzz.com/travel/d5/1706/ff/bc5543e1a5c308b5.jpg_480x360x95_ae8e0620.jpg,4.1,建议游览时间：12小时 - 3天,四季皆宜,"{'仙岛湖东线门票(观音洞+望仙崖)+船票成人票\n\n': ['¥75起'], '仙岛湖东线门票(观音洞+望仙崖)+船票双人票\n\n': ['¥215.8起'], '仙岛湖东线门票(观音洞+望仙崖)+船票亲子票(1大1小)\n\n': ['¥182.8起']}",,1
雷山风景区Leishan Scenic Area,http://travel.qunar.com/p-oi706830-leishanfengjingqu,"

地址:
黄石市大冶市陈贵镇境内


电话:
0714-8992488


官网:
http://hb.defenglida.com/

",雷山，位于大冶市城西十五公里的陈贵镇境内，是鄂东南重要的风景名胜之一。山下长港环绕，山水辉映；山上奇松怪石，胜景纷呈。雷山，集森林公园、风景名胜旅游区于一体，共分方广洞、大小口、小雷八景、石笋尖等四大景区，宝塔、亭台、楼阁、庙宇及百亩竹林点缀其中，更有那神奇的石松、石城、石床、石屋、石浪、石兽等石景鬼斧神工、绝妙天成。早在明朝袁宏道就留有赞美雷山之诗句“峰峰雪点缀，曲曲水苍寒”。,全年 08:00-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559675876405100w15000000xexhk32F2_D_640_10000.jpg_480x360x95_678f49cf.jpg,4.4,建议游览时间：1小时,,"{'大泉沟风景区门票成人票\n\n': ['¥25起'], '大泉沟风景区门票儿童票\n\n': ['¥20起'], '小雷山景区门票成人票\n\n': ['¥25起']}",,1
磁湖,http://travel.qunar.com/p-oi705030-cihu,,磁湖位于黄石市区中心，面积10平方公里，大于著名的杭州西湖，居全国市区内湖之首，磁湖以湖边盛产磁铁而得名。苏轼谪居黄州（今市）时，其弟苏辙由广陵乘船来黄州，舟经黄石江面，突遇风阻，曾由胜阳港入湖避风，苏轼闻讯后，寄诗相迎，辙亦以诗章酬答。湖中有小山，据记载，原建有清风阁、木樨亭等，久废。山麓有石，曰“苏公石”，当年“二苏”酬唱诗刻，犹存石上。磁湖的主要景点有睡美人、鲢鱼墩、澄月岛、逸趣园、映趣园、野趣园等。磁湖景区内，山形峻峭，水域纵横，山环水抱...磁湖位于黄石市区中心，面积10平方公里，大于著名的杭州西湖，居全国市区内湖之首，磁湖以湖边盛产磁铁而得名。苏轼谪居黄州（今市）时，其弟苏辙由广陵乘船来黄州，舟经黄石江面，突遇风阻，曾由胜阳港入湖避风，苏轼闻讯后，寄诗相迎，辙亦以诗章酬答。湖中有小山，据记载，原建有清风阁、木樨亭等，久废。山麓有石，曰“苏公石”，当年“二苏”酬唱诗刻，犹存石上。磁湖的主要景点有睡美人、鲢鱼墩、澄月岛、逸趣园、映趣园、野趣园等。磁湖景区内，山形峻峭，水域纵横，山环水抱、交相辉映，美不胜收。1997年，磁湖风景区经省政府批准定为省级风景区。,,https://img1.qunarzz.com/travel/d8/1505/6c/6662d3827ee2ef.jpg_480x360x95_ad4d58a8.jpg,4.0,,,,,1
湘鄂赣边区鄂东南革命烈士陵园Xiang'egan Bianqu E Southeast Cemetery of Revolutionary Martyrs,http://travel.qunar.com/p-oi702428-xiangeganbianquedongnan,"

地址:
黄石市阳新县陵园大道1号


电话:
0714-7322489

",湘鄂赣边区鄂东南革命烈士陵园位于阳新县城区北郊竹林湖畔的卧虎山上，占地面积28.5万平方米。陵园以纪念碑、纪念馆、烈士纪念堂、九烈士墓地、正气亭、国防园六大工程为主体组成。陵园内有湘鄂赣境内502位烈士的生平事迹；有大量的革命文物和图片资料。,全年 8:00-19:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8c0d781d262e010981681b2af8a4104a.jpg_480x360x95_65199972.jpg,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
青龙山公园Qinglongshan Park (West Gate),http://travel.qunar.com/p-oi722601-qinglongshangongyuan,"

地址:
东岳路街道湖滨路6号


电话:
8737929

", 大冶市青龙山公园抱山环湖建造，依山立亭，临水筑榭，景色美不胜收。,全天,https://img1.qunarzz.com/piao/fusion/1507/ac/a89f54754c64ee.jpg_480x360x95_4bf15e82.jpg,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
黄石国家矿山公园Huangshi (Yellow Stone) National Mining Park,http://travel.qunar.com/p-oi712444-huangshiguojiakuangshan,"

地址:
湖北省黄石市铁山区东方大道2号


电话:
0714-5433321,0714-5416977

",黄石国家矿山公园位于湖北省黄石市。这里有着悠久的历史，三国孙权在此“筑炉炼兵器”；清末湖广总督张之洞办洋务、兴钢铁，在此建成中国较早的一家用机器开采的大型露天铁矿，成为汉阳铁厂的原料基地。历经百年开采，铁矿东露天采场形成了落差444米的高陡边坡，现在成为黄石国家矿山公园核心景观。矿冶大峡谷形如一只硕大的倒葫芦，东西长2200米、南北宽550米、较大落差444米、坑口面积达108万平方米。在铁山张之洞广场旁，有全国首座铁矿博物馆，馆内收藏史料10余万字，图片1600余幅，文物80余件，见证了千年矿山的创业史和发展史。,全年 08:30-17:30,https://img1.qunarzz.com/travel/d5/1710/5a/8e950e7278fb0ab5.jpg_480x360x95_2f4433fc.jpg,4.2,建议游览时间：2小时 - 3小时,,"{'黄石国家矿山公园门票成人票\n\n': ['¥33起'], '黄石国家矿山公园手机电子导览服务大小同价\n\n': ['¥0.1起'], '湖北黄石环线飞行大冶龙凤山滑翔伞基地\n\n': ['¥100起']}",,1
华新1907文化公园,http://travel.qunar.com/p-oi39601826-huaxin1907wenhuagongyuan,, 华新水泥1907文化遗址公园基于华新水泥厂旧址而建，位于黄石市黄石港区，依山面湖临江，地处黄石市中心地带。   华新水泥厂创建于清光绪33年（1907年），前身大冶湖北水泥厂，是我国近代最早开办的三家水泥厂之一，被誉为“中国水泥工业的摇篮”，它见证了中国水泥工业从萌芽、发展到走向现代的历史进程，是我国水泥行业教科书。是中国现存生产时间最长、保存最完整的水泥工业遗存，填补了我国近代水泥工业遗产保护的空白。2007年5月12日，华新水泥老厂区正式关停，黄石市委市政府高度重视，将其作为工业遗产保护性收储， 制定了《华新水泥厂旧址保护总体规划》。华新水泥旧址占地面积约385亩，包括7.39万平方米设施，84处文物单元，现有遗存设备332台套，非标件535件。其中， 1、2号湿法加工水泥窑设备于1946年从美国进口由华新自主设计施工的3号窑于1977年正式投产，被命名为“华新窑”。此外，厂内还完整收藏了建厂数十年来所有的工业零件模型与相关资料，在工业发展历史上具有相当丰富的研究价值。2013年，华新旧址被评定为全国重点文物保护单位，2019年被评定为国家工业遗产。   近年来，为了将旧址进行更好地活化利用，黄石市政府创新模式，由政府主导，市城发集团投资运营，2022年5月1日，华新水泥1907文化公园正式对外开放，为推动华新旧址工业旅游迈上高速发展期注入强大引擎。,,,0.0,,,,,1
龙角古刹,http://travel.qunar.com/p-oi39559126-longjiaogucha,,,,,0.0,,,,,1
董家口水库,http://travel.qunar.com/p-oi39203206-dongjiakoushuiku,,,,,0.0,,,,,1
大屋湾风情街,http://travel.qunar.com/p-oi39057097-dawuwanfengqingjie,,,,,2.0,,,,,1
