名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
五大连池风景区Wudalianchi Scenic Area,http://travel.qunar.com/p-oi710032-wudalianchifengjingqu,,,,,,,,,,1
大黑河岛Daheihe Island,http://travel.qunar.com/p-oi707664-daheihedao,"

地址:
黑龙江的中部，距离黑河市区70公里


电话:
+86 28 8556 8847

",大黑河岛位于黑龙江的中部，距离黑河市区70公里，现在，这里已被批准为中俄边贸区。,全天,https://flight-feed.qunarzz.com/as3/263/image/poi_vishnu/5954e135-6239-4a7b-a8cc-4564d9c742db.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
库尔滨景区,http://travel.qunar.com/p-oi7646584-kuerbinjingqu,,,,,,,,,,1
爱珲历史陈列馆,http://travel.qunar.com/p-oi715217-aihunlishichenlieguan,"

地址:
黑河市爱辉区爱辉镇


电话:
0456-8201907

",爱辉因《瑷珲条约》而闻名于世，爱辉历史陈列馆也因《瑷珲条约》而倍受世人关注。爱辉历史陈列馆记载了中俄关系的演变史。爱辉历史陈列馆始建于1975年6月，同年9月竣工并对外展出。初建馆时，定名为“爱辉反修展览馆”。1979年7月展览馆对展出的内容进行调整，并定名为“爱辉历史陈列馆”。建馆20多年来，爱辉历史陈列馆共接待中外各界观众192万人次，党和国家领导人34位，省部级领导400多位，国际友人、侨胞10000人次，有49个国家的外宾参观了陈列馆，在爱国主义教育和国防教育方面...爱辉因《瑷珲条约》而闻名于世，爱辉历史陈列馆也因《瑷珲条约》而倍受世人关注。爱辉历史陈列馆记载了中俄关系的演变史。爱辉历史陈列馆始建于1975年6月，同年9月竣工并对外展出。初建馆时，定名为“爱辉反修展览馆”。1979年7月展览馆对展出的内容进行调整，并定名为“爱辉历史陈列馆”。建馆20多年来，爱辉历史陈列馆共接待中外各界观众192万人次，党和国家领导人34位，省部级领导400多位，国际友人、侨胞10000人次，有49个国家的外宾参观了陈列馆，在爱国主义教育和国防教育方面发挥了重要作用，深受中、省、市各级领导的高度重视。1994年，爱辉历史陈列馆被命名为省级爱国主义教育基地；1997年被命名为省级国防教育基地和全国首批百个爱国主义示范教育基地。1992年，黑河被国务院批准为沿边开放城市后，爱辉历史陈列馆已成为黑河市最重要的旅游观光景点之一。鉴于原展览馆面积狭小，布展手段落后，在全国同类型级别的示范基地中条件最差，1999年底，市委市政府决定改扩建爱辉历史陈列馆。改扩建后的爱辉历史陈列馆占地10万平方米，规划为8个大小不等的功能区：大门风景区、历史陈列区、题词碑林区、将军衙门区、民俗风情区、江畔娱乐区、管理区和商服区并适当配置园林、绿地、雕塑等景观，计划全部工程分三年完成。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/849f7217332e354145cf4cb75f3b3c74.jpg_480x360x95_5752c10f.jpg,3.0,,,20元,,1
白龙洞Underground Binghe,http://travel.qunar.com/p-oi717005-bailongdong,"

地址:
黑河市五大连池市五大连池镇东8公里处


电话:
0456-7296999

",白龙洞，也叫地下冰河，位于五大连池镇东部的东焦得布山北西侧，是以霜雪为主的熔岩冰洞。洞内鳞状的洞壁上形成多种荆棘状熔岩钟乳，上面结满了冰花霜挂，洞底凝冻了万载冰河，常年气温在零下5℃左右。白龙洞全长515米，是我国目前发现长的火山地下熔岩隧道，洞底呈阶梯式斜坡状冰体覆盖光滑如镜，洞的尽头有两个传说是锁白龙的巨大熔岩石柱，因此民间传为“白龙洞”。,05/01-10/31 07:30-17:30,https://img1.qunarzz.com/p/tts7/1805/c7/22ffa2f56b8c9c02.jpg_480x360x95_8a94d280.jpg,4.3,建议游览时间：1小时,,30元,,1
天池Tianchi,http://travel.qunar.com/p-oi721875-tianchi,"

地址:
黑河市五大连池市五大连池镇五大连池风景区内


电话:
0456-7296999

",五大连池天池景点位于南格拉球山，在山顶上有一直径达150余米的圆盆状火山口，曾经盛满了一百多万年积累成的神秘灵池，池深曾达十几米，四季不冻，水清如镜，相传是“七仙女沐浴的天池”，也是世界上的精巧的火山“天池盆景”。池中原长有大叶荷花，每当盛夏，一团团一簇簇大叶荷花竟相开放，煞是壮丽。,8:30-17:30，15:00停止进入。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/c64247e8f3830898dc7b49b732b69ddc.jpg_480x360x95_5636a9da.jpg,4.0,建议游览时间：2小时 - 3小时,,20元,,1
火山堰塞湖观光区,http://travel.qunar.com/p-oi719807-huoshanyansaihuguanguang,,“名山如画屏，珠带五湖清”。当新期火山喷发时，熔岩流以其排山倒海之势，把古老的白河河道截成五个串珠状湖泊，总面积丰水期时为45平方公里，仅三池子就有21.5平方公里，是我国第二大火山堰塞湖。因为有地下矿泉水的补充，所以终年不枯竭，是一个地下涌泉矿水湖，它由几百个泉眼组成没有大量的地表水流入，所以它的矿泉鱼才堪称一绝这里的五个池子色彩和形态各异，池岸曲线变化丰富，和周围广阔的熔岩台地相映衬，在群山的怀抱中，更显得风姿卓约。在五大连池里还有一种奇特的倒鳞鱼...“名山如画屏，珠带五湖清”。当新期火山喷发时，熔岩流以其排山倒海之势，把古老的白河河道截成五个串珠状湖泊，总面积丰水期时为45平方公里，仅三池子就有21.5平方公里，是我国第二大火山堰塞湖。因为有地下矿泉水的补充，所以终年不枯竭，是一个地下涌泉矿水湖，它由几百个泉眼组成没有大量的地表水流入，所以它的矿泉鱼才堪称一绝这里的五个池子色彩和形态各异，池岸曲线变化丰富，和周围广阔的熔岩台地相映衬，在群山的怀抱中，更显得风姿卓约。在五大连池里还有一种奇特的倒鳞鱼生长，鱼鳞有五分之四是倒着长的。那么倒鳞鱼是怎么来的呢？到目前为止还是一个没有解开的迷。游览火山堰塞湖观光区，可从城区内的石龙河水上风景线的船站出发，乘船向北经8华里石龙河水上风景线到达一池溢出口瀑布，然后徒步几百米到达一池船站换乘豪华游船，依次向北游览一池、二池、三池或四池、五池，午间可在三池鱼村就餐，然后乘车返回城区。,,https://img1.qunarzz.com/travel/d8/1610/ea/40dadb42aefff0b5.jpg_480x360x95_59547df9.jpg,5.0,,,,,1
龙门石寨Longmen Stone Village,http://travel.qunar.com/p-oi717190-longmenshizhai,,,,,,,,,,1
五道豁洛影视城,http://travel.qunar.com/p-oi707854-wudaohuoluoyingshicheng,"

地址:
黑龙江黑河市

",五道豁洛影视城位于黑龙江中方一侧，距黑河市区1.5公里处。五道豁洛岛旅游区共分为影视基地、黑龙湾、历史文物馆、原始人部落、天然动物园五个景区。后几个景区正在规划和修复之中。影视基地建于中俄界河―黑龙江的五道豁洛岛上，占地面积12万平方米。影视基地是由黑河地方铁路局投资650多万元兴建的，由俄罗斯旧街道、满族村屯、瑷珲古城、漠河金矿等若干建筑组成，规模宏大，景色秀美。,8:00——18:00,,--,,,20元,,1
五道活龙岛,http://travel.qunar.com/p-oi707736-wudaohuolongdao,,五道活龙岛影视基地旅游区位于黑龙江黑河市西郊四公里处，总面积2.5平方公里。它由风流岛影视基地、黑龙湾、历史文物馆、原始人部落、天然动物园五个景区，五十五个景观组成。风流岛影视基地是五个景区的主体。风流岛，其正名为“五道活龙岛”，俗称五道豁洛岛。专为北京电影制片厂拍摄的54集电视连续剧《黑龙江三部曲》而建。建筑面积3200平方米。从西往东共分9个景区，主要有牌楼、俄罗斯一条街、教堂、俄警察局、监狱、爱辉衙门等建筑物50余个，堪称晚清时期，中俄两国的城乡建筑...五道活龙岛影视基地旅游区位于黑龙江黑河市西郊四公里处，总面积2.5平方公里。它由风流岛影视基地、黑龙湾、历史文物馆、原始人部落、天然动物园五个景区，五十五个景观组成。风流岛影视基地是五个景区的主体。风流岛，其正名为“五道活龙岛”，俗称五道豁洛岛。专为北京电影制片厂拍摄的54集电视连续剧《黑龙江三部曲》而建。建筑面积3200平方米。从西往东共分9个景区，主要有牌楼、俄罗斯一条街、教堂、俄警察局、监狱、爱辉衙门等建筑物50余个，堪称晚清时期，中俄两国的城乡建筑博物馆。“五道活龙岛”之称与“黑龙神话”有关，“风流岛”之称是位知名人士送给的雅号，在这里你可以看到五大风流：即天然风流景观、中俄风流建筑、百年风流的故事、塞北龙江风流史、迷人风流神话。,,,5.0,,,25元,,1
