名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
荔波小七孔景区Libo Seven Small Arches (Xiaoqikong) Scenic Area,http://travel.qunar.com/p-oi3864545-liboxiaoqikongjingqu,"

地址:
黔南州荔波县孟柳风情小镇旁


电话:
0854 3516116

",荔波小七孔景区位于荔波县城南部的群峰之中，景区响水河上横跨着一座青石砌成的七孔拱桥，故而得名。景区融山、水、林、洞、湖泊和瀑布为一体，秀美幽静，加上浓郁的土家和瑶族风情，使得小七孔景区声名大噪，是避暑胜地。从景区东大门进入后，就可以乘坐景区电瓶车逐个景点游玩。游览小七孔景区的标志——小七孔古桥，再看看68级跌水大瀑布。然后欣赏小七孔特有的景观——水上森林，这里是拍摄风景大片的好地方。继续向前来到卧龙潭，这个地方很像九寨沟，宛若人间仙境。然后就来到了景区压轴景点——鸳鸯湖，鸳鸯湖湖水碧绿凝重，因湖中有两棵并排参天的大树而得名，景色十分迷人。景区游玩一圈大约4-6小时，每个景点旁都有商贩售卖烤玉米、炸小鱼和茶叶蛋等小食，走累了，可以随便找一家坐下，休息一下顺便填饱肚子，再继续上车前往下一个点。游玩结束，可以原路返回，或者直接从西大门出景区。 ,7:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/0fed9bd1dc4d44a03c73e1eeff655479.jpg_480x360x95_eb28b34e.jpg,4.6,建议游览时间：4小时 - 6小时,,"{'小七孔景区门票+观光车票成人票\n\n': ['¥50起'], '小七孔景区门票+观光车票儿童票\n\n': ['¥50起'], '小七孔景区门票+观光车票老人票\n\n': ['¥50起']}",1、天气：由于贵州素有“天无三日晴”之称 ，雨季来玩，请带好雨具。 2、药品：当地由于是山区，多弯路，行车路程远，要常备晕车药品 。3、衣着：当地由于是山区，早晚温差较大，早晚较凉，要备外套；景区内山路较多，请穿便于行走的鞋子。 4、注意卫生与健康：品尝当地菜及夜市小吃时要注意餐具的洁净，尽量避免吃生冷食品。5、注意旅途安全：在一些陡坡密林，急流深洞等危险区域，要尽量随团而行，避免脱团单独前往。6、警惕上当受骗：晚上出行，注意人身安全及财务保管，尽量结伴而行。 7、爱好摄影、登山的朋友，请带好有关器材，注意户外保暖。人物摄影时尽量取得对方的同意，有些地方需准备些零钱。 8、尊重当地习俗：俗话说入乡随俗，在少数民族地区，应尊重当地的民族传统习俗和生活中的禁忌，以免造成不良后果；请尊重当地少数民族的生活和信仰，避免与当地居民发生冲突。,1
金海雪山Jinhai Snow Mountain,http://travel.qunar.com/p-oi7647004-jinhaixueshan,"

地址:
贵州省黔南州贵定县盘江镇


电话:
400-969-1088,0854-5131116

",阳春三月，在贵州省贵定县盘江镇音寨村，万亩金黄的油菜花和千顷雪白的李子花交相辉映，被人们誉为“金海雪山”。音寨家家户户都在自己的房前屋后山坡上种植李树，每至春分，从音寨极目四望，远山近峦，到处绽开雪白纯洁的李花，这就是远近闻名的盘江酥李之花，恰与音寨河两岸满田满坝盛开的金黄色油菜花形成鲜明对比，白色、黄色交相辉映，粉红色的桃花点缀其间，翠绿色的树丛衬托其底，布依山寨隐约其中，绚烂的色彩，旖旎的景致，华丽的气质，万亩油菜花和千顷李花构织成了“金海雪山”之奇景。,全年 全天开放,https://img1.qunarzz.com/travel/d6/1505/a6/0a19484345d627.jpg_480x360x95_14f8ad48.jpg,4.4,建议游览时间：1小时 - 2小时,,景区免费进入，景区内部分景点另收费,免票入园，景区内有其他消费项目需购买。,1
荔波茂兰自然保护区Libo Maolan National Nature Reserve,http://travel.qunar.com/p-oi8677722-libomaolanziranbaohuqu,"

地址:
黔南州荔波县城南部30余公里


电话:
0854-3615855,0854-3618881


官网:
http://www.gzmaolan.cn/

",茂兰自然保护区位于贵州省荔波县境内，区内商业化程度很低，原生森林茂密，喀斯特地貌形成的山、水、林、洞、瀑、石融为一体，是观赏原生态大自然的好地方，也是户外运动爱好者的天堂。茂兰自然保护区区内分布着许多景点，以地质地貌为主。螃蟹沟是一个拍照的好地方，中间有一段小石墩桥，站在上面回头看镜头拍照是不错的选择。运气好的话你真的可以发现沟中的螃蟹。然后可以去青龙瀑感受壮观的瀑布，游客可以站在瀑布下体会湿身的感觉，比较刺激。,全年 08:00-18:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/9934cba5-f018-4178-8bfd-9cea62eb16c9.jpg,4.4,建议游览时间：3天,最佳时间为夏季。,"{'荔波茂兰自然保护区门票成人票\n\n': ['¥50起'], '茂兰自然保护区电子导览服务大小同价\n\n': ['¥9起'], '小七孔景区门票+观光车+荔波茂兰自然保护区门票成人票\n\n': ['¥220起']}",建议与熟悉景区地形有经验的导游一同前往。,1
都匀茶文化博览园Duyun Tea Culture Expo Park,http://travel.qunar.com/p-oi24393123-douyunchawenhuabolanyuan,"

地址:
黔南布依族苗族自治州都匀市匀东镇


电话:
13158341419

",都匀茶文化博览园拥有气势恢宏的仿古建筑群，走进这里，仿佛回到了百年前的巴拿马盛会。都匀毛尖茶历史悠久，品味独特，1915年，都匀毛尖茶就代表中国国茶走出大山，漂洋过海，亮相美国旧金山巴拿马万国博览会并获金奖，还早被评为“中国十大名茶”。,9:00-22:00,https://img1.qunarzz.com/piao/fusion/1707/aa/7ab9ab61d2546002.jpg_480x360x95_01f2fb2b.jpg,2.0,建议游览时间：3小时 - 4小时,,具体收费情况以景区现场公示为主。,,1
茂兰喀斯特森林保护区Maolan Karst Forest Reserve,http://travel.qunar.com/p-oi23343908-maolankasitesenlinbao,"

地址:
黔南布依族苗族自治州荔波县贵州茂兰自然保护区内


电话:
0854 639 4928

",茂兰的喀斯特景观超脱了喀斯特风景的固定程式，改变了喀斯特荒芜的情调，把千姿百态的山光水景、地下溶洞与碧绿的森林景色糅合在一起，呈现出一幅优美的自然景色。茂兰自然保护区内，自然生长着2万多亩梅林，是我国较大的野生梅基地，每年元月初到2月底，当暮冬时节、万木萧疏的时候，这里却是满山遍野、争相万亩梅原辉映的梅花，千树万树野梅凌寒弄影，使原始森林里暗香疏影，含春闺中，把绿色的喀斯特原始森林装点成“南国雪原”真可谓.飞雪入林枝上白，飘花沁鼻暗香风。,全年 7:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/ac70f76afaddb60f5144e616af813022.jpg_480x360x95_7e47d09d.jpg,4.4,,,具体收费情况以现场公示为主,,1
神泉谷景区Shenquan Valley Leisure Tourism Resort,http://travel.qunar.com/p-oi23031803-shenquangujingqu,"

地址:
黔南布依族苗族自治州长顺县威远社区永增村


电话:
0854-6921116

",神泉谷休闲旅游度假区距离长顺县城仅11公里，一条乌麻河从上游贯穿威远古镇。景区主要是以典型喀斯特地貌自然风光为主，有玻璃滑道漂流、神泉驿站、自然漂流、西谷区等景点。景区山清水秀、空气清新，奇峰独秀，集山、水、园、林、花、草、清泉、幽谷、瀑布和挑战性项目于一体，有春日桃花开满山，夏有荷花出水鲜，秋赏粉黛乱子草，冬有雏菊耐岁寒的四季花谷美誉。粉黛草观赏区每年的8月下旬到11月中旬，是粉黛乱子草盛开的季节，花穗呈云雾状，远看如红色云雾，十分梦幻，简直是少女心爆棚的地方。神泉驿站神泉驿站主要由潮井湿地公园、葫芦湖、潮井神泉、瀑布等景观组成，有亭台水榭、品茗茶室、特色商铺、餐饮等配套设施，集吃喝玩乐于一体。玻璃滑道漂流玻璃滑道漂流位于西谷区粉黛乱子草观赏区与卷云驿站之间，滑道全长800米，落差约50米，傍山而下，有惊无险，颇具惊险刺激，适合喜爱冒险的游客体验。自然漂流自然漂流位于西谷区，自飞花驿站起漂，穿越整个粉黛草观赏区，水流平缓安全，适合各个不同年龄段的游客体验，全长约1.2公里。西谷区西谷区由湿地公园、水上乐园、婚庆主题公园、飞花驿站、粉黛草原等景观组成，是景区一大亮点，更是观花赏草的好去处。,8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/1ab342a212a4bd3a3d555ed3ea2a3771.jpeg_480x360x95_1e1c6702.jpeg,3.2,建议游览时间：4小时 - 6小时,,"{'神泉谷休闲旅游度假区门票+观光车票成人票\n\n': ['¥128起'], '神泉谷休闲旅游度假区门票+观光车+玻璃漂流票成人票\n\n': ['¥248起']}",,1
都匀秦汉影视城Duyun Qin and Han Studio City,http://travel.qunar.com/p-oi19969647-douyunqinhanyingshicheng,"

地址:
黔南布依族苗族自治州都匀市都凯大道


电话:
0854-8810313

",都匀秦汉影城占地900亩，由230多栋秦汉时期为主的古建筑组成，包括内城主体“两宫殿一祭坛”和外城的“四区五府”，其中一条长280米的长安街充分展示了秦汉街市风貌。《霍去病》、《斗破苍穹》等剧组曾进驻拍摄。,4/1-10/31(旺季) 09:00-19:00;11/1-3/31(淡季) 09:00-18:30,https://img1.qunarzz.com/piao/fusion/2112/52/10d83f6835018f02.jpg_480x360x95_24233147.jpg,4.1,建议游览时间：12小时 - 3天,,"{'都匀秦汉影视城门票成人票\n\n': ['¥60起'], '都匀秦汉影视城门票学生票\n\n': ['¥30起'], '都匀秦汉影视城秦汉夜游怪诞奇遇夜不限次数门票成人票\n\n': ['¥39.9起']}",,1
平塘风景区Pingtang Scenic Area,http://travel.qunar.com/p-oi10001812-pingtangfengjingqu,,位于贵州南部的平塘县，距贵阳200公里。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8d9cb351d71dcd33ec439c63b9af40bd.jpg_480x360x95_e1c2aaf3.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
荔波樟江风景名胜区Libo Zhangjiang Scenic Area,http://travel.qunar.com/p-oi10001810-libozhangjiangfengjing,"

地址:
贵州省黔南州荔波县城南部


电话:
0854-3619810,0854-3516116

",荔波樟江风景区主要由小七孔景区、大七孔景区、水春河景区和樟江风光带组成，在此一边赏景的同时也可一边进行各种户外运动。小七孔景区是荔波樟江风景区的核心景区，游客可以去小七孔鸳鸯湖坐船，湖面很大像迷宫一般，四周被浓密的植被包围，游览途中会感觉很惊险。水春河漂流是比较有名的项目，游客从小七孔去大七孔之后即可来一次刺激的漂流。,全天开放,https://img1.qunarzz.com/piao/fusion/2110/7b/d1f5f417d312e302.jpg_480x360x95_4ce5c44a.jpg,4.6,建议游览时间：3天 - 6天,,,,1
荔波古镇Libo Ancient Town,http://travel.qunar.com/p-oi9777216-liboguzhen,"

地址:
黔南布依族苗族自治州荔波县玉屏镇南门坝上菜园


电话:
0854-3789888

",荔波古镇是在荔波石城的旧址上恢复重建而成，结合了荔波当地布依、水、苗、瑶四大少数民族的文化特色，辅以明清徽派的建筑风格、江南水乡式的小桥流水，以及园林艺术结合而成。项目总占地1099亩，建筑面积约为100万平方米。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/5df4bbab1c3d5184a53b685c3e56c53c.gif_480x360x95_97f289fe.gif,4.8,建议游览时间：4小时 - 5小时,,具体收费情况以现场公示为主,,1
