名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黑龙江将军府Heilongjiang Martial's Mansion,http://travel.qunar.com/p-oi709395-heilongjiangjiangjunfu,"

地址:
齐齐哈尔市梅里斯达斡尔族区嫩江中游明月岛内

",位于齐齐哈尔市内的黑龙江将军府是一个很有历史感的古代遗址，是清朝76位历任黑龙江将军的府衙，是当时的第一官邸。清代的这么多将军里，要数袁寿山将军的威望高，他在甲午战争中的英勇表现深受万民的敬仰，后来以身殉国的魄力也令人赞叹惋惜。在寿山将军死后，黑龙江将军府的存在就仅仅是一处沙俄侵占的行所，历经百年的风雨变幻，这里早已破败苍凉。直到近代，政府计划重现古时将军府的辉煌，便把府邸从原址移到了美丽的明月岛上，依照原始的样子修建，再展昔日风采。现在的将军府风貌如前，还带有新生的气息，前来参观的游人络绎不绝，很受欢迎。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/201211/19/cc4601dfd90e4376ddb12cfb.jpg_480x360x95_ab06476d.jpg,4.1,建议游览时间：1小时,,10元,,1
雅鲁河Yalu River,http://travel.qunar.com/p-oi9139560-yaluhe,"

地址:
齐齐哈尔碾子山区

",位于齐齐哈尔碾子山区的雅鲁河漂流是黑龙江省西部地区主要的水上漂流项目，因其动感、避暑、参与性强等优势而成为齐齐哈尔地区夏季旅游的亮点。被称为“北国第一漂”。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2164c8af9dfae91d7e52e2c8a6972c4b.jpg_480x360x95_5a1a3be3.jpg,4.3,建议游览时间：1小时 - 3小时,春夏秋三季，温度适宜。,具体收费情况以现场公示为主,,1
扎龙自然保护区Zhalong Nature Reserve,http://travel.qunar.com/p-oi716470-zhalongziranbaohuqu,"

地址:
黑龙江省齐齐哈尔市铁锋区扎龙镇扎龙村


电话:
0452-5904068,0452-5904067,0452-2441246


官网:
http://www.chinazhalong.com/

",扎龙自然保护区位于齐齐哈尔市东南30多公里处，是世界最大的芦苇湿地，也是丹顶鹤的故乡。丹顶鹤是濒危鸟类，全世界现已不足两千只，每年3-10月，约有四百只丹顶鹤飞来扎龙湿地繁殖停歇。来扎龙可以看到丹顶鹤们优美的身姿，它们或展翅飞翔、或在芦苇丛中蹒跚觅食，每年都有大批的摄影爱好者来此捕捉这些美丽的画面。鹤群放飞表演是扎龙景区的特色看点，每次大约放飞20-30只丹顶鹤。你会看到远处的一群丹顶鹤在放鹤人的挥杆引导下开始助跑、飞翔，在空中盘旋片刻后飞回放飞处。由于放飞处离观鹤栈桥有一定距离，所以摄影爱好者们如果想拍摄到精彩的画面，一定要准备好长焦镜。除了丹顶鹤，在扎龙还能看到白鹤、白头鹤、白枕鹤、蓑羽鹤等珍禽。丹顶鹤放飞的时间很短也就2分钟，所以一定要提前去。6-9月是观鹤的最佳时节，此时的丹顶鹤比较多。现在已有一些丹顶鹤不再迁徙，因此冬季来也能看到一些鹤，但很少。扎龙保护区是片芦苇湿地，这里河道纵横，湖泊沼泽星罗棋布，建有长长的木栈道架于水上。景区很大，一般全程游玩需要半天时间。从大门到观鹤区要走一长段路，可乘坐电瓶车（每人10元，中间停3个站点，可随上随下）。景区大门前有免费停车场，便于自驾车游客停车。到达景区建议先注意看一下放飞时间的公告，赶时间的话可以直接坐电瓶车至终点站，然后步行约20分钟至放鹤栈桥等待放飞。6月15日-8月31日期间以及黄金周，每天有四场放飞表演，通常为：9:30、11:00、14:00、15:30，其余时节为每天两场（上下午各一场）。景区内还可坐游船（每人50元，约20分钟）穿梭在芦苇荡中，终点是放鹤栈桥处。,5/1-10/31 07:00-17:00;11/1-4/30 08:00-16:30,https://img1.qunarzz.com/travel/d7/1701/63/c15a7922abdf34b5.jpg_480x360x95_053e717d.jpg,4.5,建议游览时间：12小时 - 3天,,"{'扎龙自然保护区门票成人票\n\n': ['¥43起'], '扎龙自然保护区门票儿童票\n\n': ['¥22.5起'], '扎龙自然保护区门票老人票\n\n': ['¥22.5起']}",扎龙自然保护区旅游小贴士1、每年4-5月或8-9月份是观鸟的最佳季节。2、至少需要3天。3、丹顶鹤修长耳优雅，识别的方式是头顶上一块朱红的颜色，尽量不要拿食物去喂食他们，对于野生的鹤类，这种人工的喂养会危害他们。4、可以租条船到扎龙湖上兜一圈，看看野生的水鸟非常不错。,1
音河水库Yinhe Reservoir Tourism Scenic Area,http://travel.qunar.com/p-oi703154-yinheshuiku,"

地址:
黑龙江省齐齐哈尔市甘南县音河附近


电话:
0452-5622713

",音河水库位于齐齐哈尔市甘南县城西北2公里处，嫩江右岸支流音河中游，水库始建于1958年，曾在多次抵御较大洪水中发挥过重要作用。特别是在抗击1998年百年不遇的特大洪灾中取得了历史性的胜利。为铭记这一历史时刻，特立了一座刻有“坚如磐石，万民屏障”的防洪纪念碑。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4afa2620072a34510fec33fdfa5488da.jpg_480x360x95_e1575177.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
龙沙公园Longsha Park,http://travel.qunar.com/p-oi706247-longshagongyuan,"

地址:
齐齐哈尔市龙沙区公园路32号


电话:
0452 242 4264

",“龙沙”泛指塞外之地。唐代诗人李白有“将军分虎竹，战士卧龙沙”之句，龙沙公园由此而得名。龙沙公园是东北地区较大的综合性免费公园。每年一、二月份的冬季，在这里举办冰灯会。与哈尔滨的冰灯节相比，历史较短，精雕细琢的东西不多，但胜在免费。此时，到处公园内到处白雪皑皑，一副美不胜收的模样。公园经过多年建设，现有5个游览区。一进正门便是花卉观赏区，抬眼林木茂盛，草坪葱绿，古榆参天，百花开屏。向园中走出，曲经见亭阁，湖心望孔桥，随处可见逼真的雕塑和各种建筑小品。爬上胜龙山，登上天远阁，一览望江楼、寿公祠等古建筑。远眺齐市新貌，跑车如蚁，人头攒动，令人赞叹。西望劳动湖，水从嫩江来，湖水碧绿清澈，波光闪闪。劳动湖中有一岛，岛中有跨水而建的彩虹式拱桥，幽深的曲桥，飘洒的玉带桥，亭台楼榭装点其间。可在湖中泛舟，风光如画。南端是动物观赏区，汇集丹顶鹤、东北虎、棕熊等百种珍禽，游人流连忘返。公园内还有游艺娱乐区，它是一个有趣的儿童乐园，配有升降式飞机，电动宇宙飞船等新型活动项目。同时还有供成年人娱乐的大型多功能厅，是周边闻名的游览胜地和娱乐憩息的上佳之地。,全年 07:00-22:00,https://img1.qunarzz.com/travel/d1/1511/38/3c2c2eda690dcff7.jpg_480x360x95_895a3788.jpg,4.7,建议游览时间：1小时 - 2小时,,{'龙沙公园电子讲解票大小同价\n\n': ['¥0.5起']},,1
卜奎清真寺Pugui Mosque,http://travel.qunar.com/p-oi713429-bukuiqingzhensi,"

地址:
齐齐哈尔市建华区清真路38号


电话:
0452-2793210

",该地是黑龙江省较大的寺庙建筑群，位于齐齐哈尔市区之内。这里有着300多年的历史，历经沧桑变迁，却依旧安然于世，保存完整。建筑主要分为3处，东寺、西寺以及女寺。东寺建于康熙年间，是较早的建筑，礼拜大殿彩绘精美。西寺建于咸丰年间，风采依旧，在上世纪80年的翻修之后，更显得韵味十足，大家可以着重看看大殿内的油彩画作。女寺，顾名思义，就是女性可以出入的地方，现寺庙中还存有稀世的手抄经书。,全年 8:00-17:00,https://flight-feed.qunarzz.com/as3/419/image/poi_vishnu/f3aef4a5-98c3-4a24-839d-0ed43c4a0497.jpg,4.2,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
大乘寺The Dasheng Temple,http://travel.qunar.com/p-oi708062-dachengsi,"

地址:
齐齐哈尔市铁锋区站前街道民航路499号


电话:
0452-5888444,0452-5888555

",大乘寺是黑龙江齐齐哈尔市内的一处近代寺院，建于19世纪40年代初，它虽然是一个近现代的建筑物，却依旧根据传统古代寺院的形态建造，是现在黑龙江较大规模的琉璃瓦建筑群之一。建成之时，爱新觉罗·溥仪为寺庙捐赠了一套珍贵的唐版《华严经》，为大乘寺增添了一份神圣肃穆的气质。大乘寺的大雄宝殿由黄釉琉璃瓦覆盖大，气势恢宏，庄严肃穆。而绿色琉璃瓦构成“大乘寺”三个大字，悬于殿上，大气高雅，气质高洁。寺院中还有一处白玉观音，身高7米，慈祥中略带威严，令人心生尊敬。想要在闹市中寻得一处人间清净之地，就请来大乘寺吧，这里幽静的氛围一定会让你感到安宁祥和。,夏季8:00-16:00，冬季8:00-15:00。,https://img1.qunarzz.com/travel/poi/201211/19/d0c7ed73d43a4a25ddb12cfb.jpg_480x360x95_e45b8eda.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
昂昂溪遗址Ang'angxi Relic Site,http://travel.qunar.com/p-oi714256-angangxiyizhi,"

地址:
齐齐哈尔市昂昂溪镇


电话:
0452-6326434

",昂昂溪遗址位于齐齐哈尔市内，是一处新石器时代的重要遗迹，有着非常深远的历史价值。昂昂溪遗址是由一位铁路工作者意外发现的，考古队之后在此挖掘了近3000多件的石器时代人们的生活用具，主要的器具有劳作用的石器、装饰用的玉器以及一些动物骨头制作的骨器，种类形态多式多样，有的器具制作精巧，颇能窥见当时人的高超技艺。昂昂溪遗址的发现对于中国古代研究占有很大的地位，遗址边上还设有一处文化展示馆，我们可以在此了解那个遥远时代的有趣文化。,全年 9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/39f9abd150d99101a9e95293101512c6.jpg_480x360x95_2b1d1701.jpg,4.1,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
兴十四村Xingshisicun,http://travel.qunar.com/p-oi701970-xingshisicun,"

地址:
齐齐哈尔市甘南县兴十四村

",三农问题一直是我国较为关注的热点之一，如何让农民过上富饶美好的日子，向来是值得探讨的研究。位于齐齐哈尔市的甘南县有着这么一个美丽的村落，是全国农村需要学习的好榜样，这就是兴十四村。兴十四村的村民个个都有别墅住，住宅环境优美如画，路边鲜花绽放，当城里人来参观的时候，都迎来不少羡慕。这片村庄其实是由外乡人组成的移民村，很多山东人在东北勤劳耕作，逐渐建立起了村庄，但是由于地属偏远，略显荒芜，缺少资源，村子本来的状况是一穷二白的恶劣。后来经过几十年的苦干，将农业和工业巧妙结合，这里成为了全国的示范村，据说村民每年的收入都能达到1万多。来兴十四村参观，看的不仅仅是东北村庄的新风貌，更能感受到一份现代化建设的优越性。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/19/82cebf4f3107cbd5ddb12cfb.jpg_480x360x95_6543220e.jpg,4.8,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
讷河市雨亭公园,http://travel.qunar.com/p-oi707702-neheshiyutinggongyuan,"

地址:
黑龙江齐齐哈尔讷河市讷河镇南环路东

",雨亭公园位于讷河市讷河镇南环路东，占地45.5公顷，其中绿地和水面为43公顷。公园于1915年由伪满县公署主持、农商警学绅各界人士捐资兴建。因当时建有一座避雨草亭，故名“雨亭公园”。解放后，讷河市人民政府又分别于1958年、1990年、1996年和2000年先后4次集资筹款对公园进行了大规模修整和扩建，使公园规模不断扩大，基础设施日臻完善。目前，公园分为8个区，即园务管理、花卉欣赏区、晨练区、水上游乐区和动物观赏区。各区之间有纵横交错、井然有序的靓丽景观。尤其是在林荫休息区...雨亭公园位于讷河市讷河镇南环路东，占地45.5公顷，其中绿地和水面为43公顷。公园于1915年由伪满县公署主持、农商警学绅各界人士捐资兴建。因当时建有一座避雨草亭，故名“雨亭公园”。解放后，讷河市人民政府又分别于1958年、1990年、1996年和2000年先后4次集资筹款对公园进行了大规模修整和扩建，使公园规模不断扩大，基础设施日臻完善。目前，公园分为8个区，即园务管理、花卉欣赏区、晨练区、水上游乐区和动物观赏区。各区之间有纵横交错、井然有序的靓丽景观。尤其是在林荫休息区保存有历代遗留古碑，具有重要的历史研究价值和艺术欣赏价值。2000年公园开辟了新区，修建了十二曲石桥、荷花池和仿古楼亭等设施，使公园的自然景观与人工设计达到完善、和谐和统一。雨亭公园的建设，不仅为讷河人民营造了一个优美、舒适的休闲空间，还对改善全市经济发展环境，吸引中外游客起到了重要作用。,夏季8:00-16:00、冬季8:00-15:00,,4.0,,,3元,,1
