名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
永定土楼Yongding Earth Building,http://travel.qunar.com/p-oi715952-yongdingtulou,"

地址:
龙岩市永定区湖坑镇洪坑村


电话:
0597-3256222,0597-5939631


官网:
http://www.tulou.com.cn/

",永定土楼是国家5A级景区，也被人们戏称为“中国古建筑的一朵奇葩”。它位于福建省龙岩市，是神奇的山区民居建筑，永定土楼千姿百态，历史悠久、风格独特、规模宏大、结构精巧、种类繁多，大约分方楼圆楼两大体系，现存著名的圆楼360座，方楼4000多座，被称为一座没有大门的中国客家土楼博物馆。日本东京艺术大学教授茂木一郎说：“土楼像地下冒出的巨大蘑菇，又像自天而降的黑色飞碟”。这“黑色飞碟”有青山怀抱，绿水环绕，田园烘托，既壮观，又抒情，其诗情画意和豪迈气概，让人留下许多遐思和无穷的想象空间。更有意思的是，在这个说大不大说小不小的土楼里，居住着几十户人家几百号人，他们同祖同宗同血缘同家族，过着共门户、共厅堂、共楼梯、共庭院、共水井的和睦生活。像这种聚族同楼而居的生活模式，倒也热闹温馨。    ,全年 08:30-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/4763146512712f5758658dcd516ac294.jpg_480x360x95_16b6be17.jpg,4.5,建议游览时间：1小时 - 2小时,四季皆宜，冬无严寒，夏无酷暑。,"{'福建土楼客家民俗文化村（洪坑土楼）门票成人票\n\n': ['¥85起'], '福建土楼客家民俗文化村（洪坑土楼）门票儿童票\n\n': ['¥45起'], '福建土楼客家民俗文化村（洪坑土楼）门票学生票\n\n': ['¥32.5起']}",1、客家土楼有好几千座，看多了难免会产生“审美疲劳”，但有几座楼是非看不可的。比如圆楼中的“振成楼”、“承启楼”，方楼有“遗经楼”，还有几初颇为壮观的土楼群也不可不游，如永定初溪土楼群等。2、拍摄提示：客家土楼四季均可拍摄，尤以“芒种”前后为佳，这时土楼附近的梯田灌满了水，若是雨后，还有云雾弥漫山间，选好角度可出佳作。如春节期间前往，则有不少民俗活动，也可为照片增添亮色。3、如果春节期间前往，可能会遇到不少气氛热烈的民俗活动，比如娶亲、正月十四十五连城的走古事等。4、散客可以和楼主联系，与他们一起吃饭，平均下来每餐10元左右，当然也可以选择客家菜做得很地道的宾馆。 5、干笋要买稍微黑些的，白色干笋比较便宜，是熏过的。永定的笋干与广东不同，广东的笋干是酸的，吃不习惯。干菜建议买散装的，据说封袋的干菜味道差些。永定的干菜味道极佳。 ,1
永福樱花园Yongfu Cherry Blossom Garden,http://travel.qunar.com/p-oi7644088-yongfuyinghuayuan,"

地址:
龙岩市漳平市永福镇李庄村


电话:
18650425596,18650427213

",永福樱花园位于福建漳平市永福镇后盂村的茶园和李庄村的台缘山庄，永福茶园的樱花，一般在每年的春节前后开放，还会举办一年一度的樱花节，吸引八方游客前往参观。 永福樱花园距离龙岩市区不到一小时的车程，尽管都是曲折的盘山路，但看到樱花园的美景，还是很值得的。永福的樱花品种众多，主要是由红樱花、粉樱花、白樱花构成，依次分三次花期绽放。每年开花时间依据温度会有所不同，花期很短，通常一周左右便凋零了。每逢花期前后，一树树的樱花怒然盛开，放眼望去粉红、桃红、鲜红印入眼帘，鲜艳美丽，在一垄垄墨绿的茶丛中漫天飞舞开来，红中透着粉，粉里带着紫，浅浅的淡淡的，深深浅浅地融化每一颗慕名而来的心。     ,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/fbf44afe0098eb81ebd4b635e5c8b84e.jpg_480x360x95_230eb70a.jpg,4.6,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
长汀古城Changting Ancient City,http://travel.qunar.com/p-oi9127323-zhangtinggucheng,"

地址:
龙岩市长汀县其他兆征路80号


电话:
18650425596,18650427213

",长汀古城坐落于汀州镇，这里位于福建省西部山区，历来是客家人的大本营。长汀古城依山傍水，城内保存着许多宋明时期的客家民居，漫步巷间或逛逛那些传统店铺，随处都能看见当地居民原汁原味的生活场景。登上古城墙，追忆历史的长河，去城里的历史景点寻觅老旧痕迹，又或者循着味道，去搜罗街头巷尾的美味小吃，好好享受属于自己的休憩时光。长汀古城不算大，可以去汀州试院、汀州文庙、汀州府城隍、天后宫、南禅寺等知名古迹参观，或者去上官周故居、紫云公祠、云骧阁等景点逛逛。城南的宝珠门门楼便是观古城全貌较佳的位置，登上古城墙从更高的视角端详这座古城也是不错的选择。早在唐代长汀城内便筑起了城墙，古城墙是长汀古城的象征，如今大半城墙均为现代复建。在城墙上可以看到古城市井间的生活情景，你可以从城南的惠吉门登上城墙，沿着汀江向北走到朝天门下来，途中可经过几座城楼和烽火台，其中水东桥附近的那段城墙是历史旧物。长汀古城内除了众多古迹，也有不少历史名人的纪念馆和故居。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1510/dc/bc2f6c42d6d6.jpg_480x360x95_a7fd8710.jpg,4.5,建议游览时间：3天,四季皆宜。,具体收费情况以现场公示为主,,1
连城冠豸山Guanzhai Mountain,http://travel.qunar.com/p-oi701665-lianchengguanzhishan,"

地址:
龙岩市连城县冠豸山景区


电话:
0597-8931866,0597-3128080

",冠豸山风景区位于福建西部的连城县县城东侧，有“城在景中，景在城中”之称。它是客家人心中的神山，由于“豸”为古时灵兽，有刚强、公正的寓意，所以冠豸山也被称为“正义山”。冠豸山山峻石奇，远远眺望彷佛像一朵欲放的莲花，又名莲花山，它与武夷山一起被人并称为“北夷南豸，丹霞双绝”。冠豸山真正开始出名是在宋元佑年间，当时在石门湖筑亭建阁，植以松竹，这里就成为了文人骚客吟诗斗酒的聚集地。山中风景秀丽，独树一帜。文人们当然也不会错过这么好的机会，历朝历代留下了许多摩崖石刻和楼台亭阁及书院等人文景观。保存至今的有半云亭、松风亭、东山书院、修竹书院、灵芝庵等以及摩崖石刻40余处。其中最为珍贵的有林则徐登临冠豸山时手书的横匾“江左风流”，现存于东山草堂内；还有乾隆年间的名士纪晓岚，任福建提督学院时题写的“追步东山”真迹。慢慢游览冠豸山，欣赏遍野的蕨类植物，感受崖壁间的清凉，倾听缓缓流淌的清澈溪流，即使是爬山也让人神清气爽。幸运的话，你还有可能在小溪里见到自由摆尾的娃娃鱼。特别值得一提的是，如果从正面登山的话，登上百余米缓坡后，可以看到有一株枝干虬劲的百年老松挺立岗山，那就是冠豸山上最著名的一株迎客松。其实冠豸山在古代苍松遍布，但受清末战乱、“大跃进”毁林炼钢及“文革”时期乱伐林木的摧残，冠豸山几乎成为秃山，仅剩这颗老松因为长在峭壁之上砍不到而得以幸存。它虬劲的枝干和挺拨的姿态给人以愉悦的美感。在迎客松南面数米有一座六柱凉亭，游人可在那里静赏迎客松的风姿。    ,5/1-10/31(夏季) 08:00-17:00;11/1-4/30(冬季) 08:00-16:00,https://img1.qunarzz.com/travel/poi/201211/15/92f727bffefccf3bddb12cfb.jpg_480x360x95_eb8a1f07.jpg,4.6,建议游览时间：1天,冬无严寒，夏无酷暑，一年四季都很适合旅游。夏季旅游更加，是避暑好地方。,"{'冠豸山门票+竹安寨+缆车+景交车(不含游湖)票成人票\n\n': ['¥150起'], '赖源溶洞门票成人票\n\n': ['¥76起'], '培田古民居门票成人票\n\n': ['¥44起']}",1.竹安寨山势比较陡峭，请老人和儿童游玩时注意安全！2.门票当天有效，出园需入园，需再次购票。3.游船为水上户外项目，受天气等不可抗力因素影响较大，建议您出行前查看当地天气预报。,1
培田古民居Peitian Ancient Dwellings,http://travel.qunar.com/p-oi710772-peitianguminju,"

地址:
龙岩市连城县宣和乡培田村


电话:
0597-8388998,0597-8921895

",龙岩培田古民居是一座拥有800年历史的村落，是目前中国保存较为完整的明清时期客家古民居建筑群，堪与永定土楼、梅州围龙屋相媲美，是客家建筑文化经典之作。龙岩培田村的古民居建筑群大体由6座学堂、两座书院、三庵、两庙、两碑坊等古代文化宗教建筑和20座古祠、30余幢民居，以及一条千米古街、5条巷道、两条贯穿村落的水圳组成。建筑用材为木料及砖。,8:00-22:00；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,https://img1.qunarzz.com/travel/poi/201211/15/905ddf06edb71a07ddb12cfb.jpg_480x360x95_2ba404c1.jpg,4.4,建议游览时间：1小时 - 2小时,,"{'培田古民居门票成人票\n\n': ['¥44起'], '培田古民居古村落门票成人票\n\n': ['¥44.9起'], '培田古民居手机智能导游讲解服务大小同价\n\n': ['¥6起']}",,1
汀州古城,http://travel.qunar.com/p-oi30080752-tingzhougucheng,,,,,--,,,,,1
汀江国家湿地公园Tingjiang National Wetland Park,http://travel.qunar.com/p-oi10067427-tingjiangguojiashidigong,,,,,,,,,,1
长汀红色旧址群Changting Red Sites,http://travel.qunar.com/p-oi9650193-zhangtinghongsejiuzhi,"

地址:
龙岩市长汀县汀州镇兆征路43号


电话:
0597-3361202

",长汀红色旧址群是全国重点文物保护单位，福建省苏维埃政府旧址即在此。苏维埃政府旧址位于福建汀县（城关）汀州镇兆征路41号，对面就是长汀县古城门（城墙）汀州三元阁。院内有唐代双柏树、龙山书院、朱子祠等，为庭院式土木结构厢房，占地面积11370平方米。该址宋代为汀州禁军署地，元代为汀州卫署址，明、清两代辟为试院，是汀州历史极具象征意义的一处古迹。“省苏”的成立，标志着福建苏区的革命斗争进入了一个全盛时期，长汀成为福建红色区域的首府和政治、军事、经济、文化的中心，在开展革命战争，建设和保卫苏区方面作出了不可磨灭的贡献。,全年 周二-周日 08:00-12:00;全年 周一 全天不开放 ;全年 周二-周日 15:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1553281422672100p12000000snn0r1547_D_640_10000.jpg_480x360x95_d7c40fb0.jpg,4.7,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
石门湖Shimen Lake,http://travel.qunar.com/p-oi7469496-shimenhu,"

地址:
龙岩市连城县石门湖路7号


电话:
0597-8920566,0597-8921895,0597-3128080

",石门湖位于连城冠豸山东南，两岸是满眼青葱的高山，湖水光滑如镜犹如一块镶嵌在冠豸山险峰奇谷之间的翡翠，水随着山势蜿蜒流淌，碧水青山交相辉映，荡舟其中好比置身山水画间，无处不在的清幽、碧绿让人倍感放松。石门湖有八大景点，分别为：马鞍寨、映山亭、翠岛微澜、疯僧戴帽、莲花峰、铜钟、生命之门、大象戏水。登上游船，缓缓前行，船浆划破波光潋滟的湖面，推动着小舟时而穿过狭窄的峡谷，时而闲庭信步开阔的湖面，一个个活灵活现的水面奇观，历历在目，一景接一景，一画连一画，让您亲历人在画中游的惬意旅程。偶尔，一两只白鹭、野鸭，从湖边的绿林中飞出，掠过水面，生机盎然，引来无数游人惊叫。,5月1日-10月31日8:00-17:30；11月1日-次年4月30日8:30-17:00；信息仅供参考，具体开放时间以景区当天披露为准。,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1551219132243100311000000reho41002_D_640_10000.jpg_480x360x95_00696c0e.jpg,4.6,建议游览时间：1小时 - 2小时,,{'漳平永福樱花园+万亩茶园包车一日游【茶山赏浪漫樱花】\n\n': ['¥680起']},,1
龙门峡洞,http://travel.qunar.com/p-oi38941942-longmenxiadong,,,,,--,,,,,1
初溪土楼群Chuxi Tulou cluster,http://travel.qunar.com/p-oi7335810-chuxitulouqun,"

地址:
龙岩市永定县下洋镇初溪村


电话:
0597-5939631,0597-5830397,0597-5586500

",初溪土楼群是永定土楼群中保存原始的一群，依山傍水而建，有着悠久的历史，独特的建筑风格和古老的韵味赐予它较高的美学和历史价值。初溪土楼群的楼名中间都带有一个“庆”字，以示人丁兴旺、万事如意。其中有名、具代表性的土楼是拥有580多年历史的集庆楼。集庆楼是全国重点文物保护单位。1419年建成，为永定现存圆楼中年代久远、楼梯多、结构特殊的一座圆楼，楼里有72部楼梯，一户一梯，非常合理，令人称奇。集庆楼的房间、楼梯、隔门全用杉木构建，相邻处全靠隼头衔接，不用一枚铁...初溪土楼群是永定土楼群中保存原始的一群，依山傍水而建，有着悠久的历史，独特的建筑风格和古老的韵味赐予它较高的美学和历史价值。初溪土楼群的楼名中间都带有一个“庆”字，以示人丁兴旺、万事如意。其中有名、具代表性的土楼是拥有580多年历史的集庆楼。集庆楼是全国重点文物保护单位。1419年建成，为永定现存圆楼中年代久远、楼梯多、结构特殊的一座圆楼，楼里有72部楼梯，一户一梯，非常合理，令人称奇。集庆楼的房间、楼梯、隔门全用杉木构建，相邻处全靠隼头衔接，不用一枚铁钉，在穿越将近600年的风霜雨雪后，依然与厚达两米的生土墙一起巍然屹立，显得古老而不破败。初溪村里年轻的土楼是善庆楼，建于1979年，一楼走廊及天井全部用同一规格的方形花岗石铺就，采光通风的效果。走进善庆楼，犹如置身于阳光明亮的广场。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/201406/23/2ace7555d8903f70ddb12cfb.jpg_480x360x95_5370ad1c.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'初溪土楼群门票成人票\n\n': ['¥60起'], '永定土楼群（福建客家土楼）初溪古村落门票成人票\n\n': ['¥60起'], '永定土楼群（福建客家土楼）初溪古村落门票儿童票\n\n': ['¥32.5起']}",,2
店头街Changtingxian Diantou Street,http://travel.qunar.com/p-oi35215586-diantoujie,,长汀县店头街是一条古老的的手工百业街，老街还保存了张宅、王家祠、兰氏宗祠、林氏家庙等一大批建于明清时期的府第式古建筑。,,https://flight-feed.qunarzz.com/as3/271/image/poi_vishnu/ba848b70-6607-45aa-8038-2d07527d55ca.jpg,4.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
"永福台品樱花茶园Taipin Sakura Garden, Yongfu Town",http://travel.qunar.com/p-oi23344644-yongfutaipinyinghuacha,"

地址:
龙岩市漳平市永福镇358国道

",永福台品樱花茶园位于漳平市永福镇后盂村的茶园和李庄村的台缘山庄，永福樱花品种主要有中国红、绯寒樱、云南樱、染井吉野樱、牡丹樱、福建山樱等，品种多达42个。花期大约在每年1月下旬到3月中旬（以当年实际花期为准），樱花一个品种接着一个品种开。 第一波盛开的主要是红色的绯寒缨、中国红、雾色樱、八重樱、牡丹樱;第二波盛开的主要是粉色的云南樱和白色的染井吉野樱;第三波盛开的将是粉色的松月樱、关山樱、普贤象樱、御帝吉野樱等。2015年永福境内的茶园、樱花园等地种植胸径8厘米以上的樱花近10万株。另外永福还建成了2个连片上百亩的樱花繁育基地，种植樱花苗220多万株。永福樱花品种齐全，有绯寒樱、中国红、云南樱、吉野樱、八重樱、福建山樱等42个品种。2015年各品种的樱花正次第盛开，有朱红的、粉红的、雪白的，漫山遍野的樱花将整个永福打扮得花团锦簇。中国樱花美，漳平春节开。比照其他地区，永福樱花的花期颇具优势，开放时间大约在每年立春前后（1月底2月初）至3月中下旬（以当年实际花期为准）。而我国其他较为知名的樱花园的樱花要么在11、12月份开，要么在3月份以后开。因此春节期间盎然绽放的永福樱花时令全国最佳，在增添喜气的同时，也成为春节长假人们踏春赏花之选。,08:00-18:59,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20192/4b35e1c0c94090501f8951109f296d7b.jpg_480x360x95_92fd49df.jpg,4.4,,,"{'永福台品樱花茶园花卉展销中心金兴园艺票大小同价\n\n': ['¥10起'], '永福台品樱花茶园网红小火车票大小同价\n\n': ['¥28起'], '永福台品樱花茶园樱花大火车票大小同价\n\n': ['¥28起']}",,2
丁屋岭Dingwu (Rooftop) Ridge,http://travel.qunar.com/p-oi10094155-dingwuling,"

地址:
龙岩市长汀县古城镇丁黄村

",丁屋岭，坐落于世界客家首府一福建长汀县(汀州)。该村山高林密，空气新鲜，曲径通幽，风景如画，至今仍保留原始村落形态。黄泥墙、黑灰瓦、木房子、石台阶随处可见，粗糙厚重的石寨门，天然独特的老石板，敞开式的老祠堂，乾隆年间的老古井，是这个村庄历史与文化的积淀。其中，丁屋岭大井被列入第三次全国文物普查不可移动文物名录。原生态的建筑风貌、秀丽的风光和淳朴的民俗风情让人流连忘返，颇具旅游开发价值。相传，丁屋岭一年四季无蚊皆因村外路旁有一只石蟾蜍蜷伏于地，嘴巴朝向丁屋岭。丁屋岭得到蟾蜍的庇佑，村口世代祭祀蟾蜍石。2015年10月1日成为福建省摄影家协会丁屋岭摄影基地，也是福建长汀记忆摄影俱乐部的摄影基站。,景区暂时停业，详情请以景区公示为准；原开放时间：全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e8e2b2b302be3bfbbc80cb31ccfdf929.jpg_480x360x95_1d31c8c6.jpg,4.2,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2
龙岩森林水乡景区Jiuxilu Drifting,http://travel.qunar.com/p-oi10034901-longyansenlinshuixiang,"

地址:
龙岩市新罗区小池镇培斜村


电话:
0597-2561186,

",九溪庐漂流位于原始森林公园溪流中下游，是离龙岩市区近，交通便利，319国道直达培斜村口，河道落差大的“原始森林第一漂”。九溪庐漂流河道全长3公里，起漂点和终漂点垂直落差320米，漂流河道几乎被原始森林覆盖，皮划艇全程在树阴底下溪谷中漂流穿越。,1/1-12/31 08:30-17:00,,4.4,建议游览时间：2小时 - 3小时,,"{'龙岩森林水乡景区门票成人票\n\n': ['¥68起'], '龙岩森林水乡景区森林水乡门票成人票\n\n': ['¥68起'], '龙岩森林水乡九溪庐漂流观光门票+天际线滑车+步步惊心+丛林飞跃B线+射箭+小火车套票成人票\n\n': ['¥168起']}",,2
长汀古城墙Changting Ancient City Wall,http://travel.qunar.com/p-oi8305083-zhangtingguchengqiang,,,,,,,,,,2
承启楼Chengqilou,http://travel.qunar.com/p-oi718716-chengqilou,,,,,,,,,,2
